,bab,ayat,jawa,indo
10,Ratapan 1,10,"Si satru gumrageh tangane marang raja-branane Yerusalem kabeh, malah Yerusalem ndeleng para bangsa anggone padha lumebu ing papan pasucene, mangka Paduka, dhuh Yehuwah, sampun ngawisi tiyang-tiyang punika, boten kenging lumebet ing pasamuwan Paduka.","Si lawan mengulurkan tangannya kepada segala harta bendanya; bahkan harus dilihatnya bagaimana bangsa-bangsa masuk ke dalam tempat kudusnya, padahal Engkau, ya TUHAN, telah melarang mereka untuk masuk jemaah-Mu."
11,Ratapan 1,11,"Wong saisine Yerusalem kabeh padha sambat-sambat, padha golek roti; raja-branane diijolake pangan, kanggo nyambung uripe. “Dhuh Yehuwah, mugi karsaa mirsani, dene samanten kanisthan kawula.","Berkeluh kesah seluruh penduduknya, sedang mereka mencari roti; harta benda mereka berikan ganti makanan, untuk menyambung hidupnya. ""Lihatlah, ya TUHAN, pandanglah, betapa hina aku ini!"
12,Ratapan 1,12,"Heh kowe kang padha liwat, apa kowe ora padha mreduli? Sawangen lan tamatna, apa ana kasusahan kaya kang ditandukake dening Pangeran Yehuwah marang aku, supaya aku nandhang sedhih banget, nalika bebendune mulad-mulad?","Acuh tak acuhkah kamu sekalian yang berlalu? Pandanglah dan lihatlah, apakah ada kesedihan seperti kesedihan yang ditimpakan TUHAN kepadaku, untuk membuat aku merana tatkala murka-Nya menyala-nyala!"
13,Ratapan 1,13,"Panjenengane ngintunake geni saka ing dhuwur, kang manjing ing balung-balungku; Panjenengane masang jaring ana ing ngarepe sikilku, aku didhesek mundur, sarta aku digawe kaget, lan kelaran nganti sadina muput.","Dari atas dikirim-Nya api masuk ke dalam tulang-tulangku; dihamparkan-Nya jaring di muka kakiku, didesak-Nya aku mundur; aku dibuat-Nya terkejut, kesakitan sepanjang hari."
14,Ratapan 1,14,"Sakehing panerakku iku pasangan kang abot, sawijining bebuletan, damelaning astane Pangeran, kang ditumpangake ana ing guluku, satemah njalari enteking kakuwatanku. Pangeran wus ngulungake aku marang ing tangane para wong kang aku ora kaconggah nandhingi.","Segala pelanggaranku adalah kuk yang berat, suatu jalinan yang dibuat tangan Tuhan, yang ditaruh di atas tengkukku, sehingga melumpuhkan kekuatanku; Tuhan telah menyerahkan aku ke tangan orang-orang, yang tidak dapat kutentangi."
15,Ratapan 1,15,"Pangeran wus mbucal sakehe para gegedhugku kang ana ing wewengkonku. Pangeran wus damel pista kanggo nglawan marang aku, kanggo nyirnakake para wong nonomanku. Pangeran wus ngidak-ngidak putri Yehuda, para kenya, kaya patrape ngiles-iles meres anggur.","Tuhan membuang semua pahlawanku yang ada dalam lingkunganku; Ia menyelenggarakan pesta menentang aku untuk membinasakan teruna-terunaku; Tuhan telah menginjak-injak puteri Yehuda, dara itu, seperti orang mengirik memeras anggur."
16,Ratapan 1,16,"Marga saka iku aku nangis, mripatku ngetokake luh carocosan, awitdene juru panglipur kang bisa nglejarake atiku wus adoh; anak-anakku padha bingung, marga si satru rosa banget.”","Karena inilah aku menangis, mataku mencucurkan air; karena jauh dari padaku penghibur yang dapat menyegarkan jiwaku; bingunglah anak-anakku, karena terlampau kuat si seteru."""
17,Ratapan 1,17,"Sion ngegarake tangane, nanging ora ana wong kang nglipur; Pangeran Yehuwah wus nglempakake tangga-tanggane, supaya padha nglawan marang Yakub. Yerusalem wus dadi najis, ana ing satengahe mungsuh-mungsuh mau.","Sion mengulurkan tangannya, tetapi tak ada orang yang menghiburnya; terhadap Yakub dikerahkan TUHAN tetangga-tetangganya sebagai lawan. Yerusalem telah menjadi najis di tengah-tengah mereka."
18,Ratapan 1,18,"“Pangeran Yehuwah iku kang leres, awit aku wus mbalela marang pangandikane; heh sakehe bangsa, padha rungokna lan sawangen prihatinku, para wong nonomanku lanang lan wadon wus padha lunga dadi tawanan.","""Tuhanlah yang benar, karena aku telah memberontak terhadap firman-Nya; dengarlah hai segala bangsa, dan lihatlah kesedihanku; dara-daraku dan teruna-terunaku pergi sebagai tawanan."
19,Ratapan 1,19,"Aku ngundang para kang daktresnani, nanging iku padha ngapusi aku, para imamku lan para tuwa-tuwaku, wus padha ngajal kabeh ana ing kutha, nalika padha golek pangan kanggo nyambung uripe.","Aku memanggil kekasih-kekasihku, tetapi mereka memperdayakan aku; imam-imamku dan para tua-tuaku telah mati semuanya di kota, tatkala mencari makan bagi dirinya untuk menyambung hidupnya."
20,Ratapan 1,20,"Dhuh Yehuwah, Paduka mugi karsaa mirsani, anggen kawula ajrih sanget punika, saha anggenipun nyawa kawula ngolang-ngaling punika, manah kawula molak-malik wonten ing nglebet kawula, awitdene kesangeten anggen kawula mbalela, wonten ing jawi anak-anak kawula katumpes dening pedhang, wonten ing salebetipun griya dening sesakit pes.","Ya, TUHAN, lihatlah, betapa besar ketakutanku, betapa gelisah jiwaku; hatiku terbolak-balik di dalam dadaku, karena sudah melampaui batas aku memberontak; di luar keturunanku dibinasakan oleh pedang, di dalam rumah oleh penyakit sampar."
21,Ratapan 1,21,"Paduka mugi karsaa midhangetaken, kadospundi anggen kawula sesambat, mangka boten wonten ingkang nglipur kawula, mengsah-mengsah kawula sami mireng bab kasangsaran kawula, lajeng sami bingah, awit Paduka ingkang ndhatengaken punika! Dinten ingkang sampun Paduka undhangaken punika mugi kadhatengna, saha mengsah-mengsah wau mugi sami dadosa kados kawula!","Dengarlah bagaimana keluh kesahku, sedang tiada penghibur bagiku; seteru-seteruku mendengar tentang kecelakaanku, mereka gembira karena Engkau yang mendatangkannya! Datanglah kiranya hari yang telah Engkau umumkan itu, dan biarlah mereka menjadi seperti aku!"
22,Ratapan 1,22,"Piawonipun sadaya mugi sumengkaa dhateng ing ngarsa Paduka, saha tiyang-tiyang wau lajeng mugi sami Paduka etrapi punapa ingkang sampun Paduka tandukaken dhateng kawula, margi saking kathahipun duraka kawula; awit kathah panggresah kawula, sarta manah kawula nandhang sakit.”","Biarlah segala kejahatan mereka datang ke hadapan-Mu, dan perbuatlah kepada mereka, seperti Engkau telah perbuat kepadaku oleh karena segala pelanggaranku; karena banyaklah keluh kesahku, dan pedih hatiku."""
23,Ratapan 2,0,Bebendune Gusti Allah marang Sion,Murka Allah terhadap Sion
24,Ratapan 2,1,"Adhuh lae, putri Sion, banget temen anggone kinemulan ing mendhung dening Pangeran ing sajroning bebendune, kamulyane Israel wus kabuwang Panjenengane saka ing langit menyang ing bumi. Ancik-anciking sampeyane ora diengeti nalika Panjenengane duka.","Ah, betapa Tuhan menyelubungi puteri Sion dengan awan dalam murka-Nya! Keagungan Israel dilemparkan-Nya dari langit ke bumi. Tak diingat-Nya akan tumpuan kaki-Nya tatkala Ia murka."
25,Ratapan 2,2,"Pangeran nyirnakake sakehe pategalane Yakub, ora nganggo pinaringan sih-piwelas. Panjenengane ing sajroning bramatyane nggempuri sakehe betenge putri ing Yehuda. Karajan dalah para panggedhene padha kabanting ing bumi lan didamel sawiyah-wiyah.",Tanpa belas kasihan Tuhan memusnahkan segala ladang Yakub. Ia menghancurkan dalam amarah-Nya benteng-benteng puteri Yehuda. Ia mencampakkan ke bumi dan mencemarkan kerajaan dan pemimpin-pemimpinnya.
26,Ratapan 2,3,"Marga saka mulad-mulading bebendune, sakehe sungune Israel padha dipokahi, nalika mungsuh wus cedhak Pangeran ngingkedake astane tengen, Panjenengane mbesmi Yakub kaya geni kang mulad-mulad kang mangsa ing sakubenge.","Dalam murka yang menyala-nyala Ia mematahkan segala tanduk Israel, menarik kembali tangan kanan-Nya pada waktu si seteru mendekat, membakar Yakub laksana api yang menyala-nyala, yang menjilat ke sekeliling."
27,Ratapan 2,4,"Pangeran menthang gandhewane kaya mungsuh, lan ngacungake astane tengen kaya satru, mateni sakabehe kang nengsemake pandeleng kang ana ing tarube putri Sion, bebendune kaesokake kayadene geni.","Ia membidikkan panah-Nya seperti seorang seteru dengan mengacungkan tangan kanan-Nya seperti seorang lawan; membunuh segala yang menyenangkan mata dalam kemah puteri Sion, memuntahkan geram-Nya seperti api."
28,Ratapan 2,5,"Pangeran wus malih dadi kaya mungsuh, Israel kalebur, sakehing kedhatone karemuk, beteng-betenge padha kadadekake gempuran, kasusahan lan pasambate putri ing Yehuda kadadekake akeh.","Tuhan menjadi seperti seorang seteru; Ia menghancurkan Israel, meremukkan segala purinya, mempuingkan benteng-bentengnya, memperbanyak susah dan kesah pada puteri Yehuda."
29,Ratapan 2,6,"Tarube piyambak karusak kaya kebon, papan masamuwane kabubrah. Ana ing Sion Pangeran Yehuwah wus damel laline wong marang riyaya lan sabat, raja lan imam wus padha ditampik, marga saka bramatyane.","Ia melanda kemah-Nya seperti kebun, menghancurkan tempat pertemuan-Nya. Di Sion TUHAN menjadikan orang lupa akan perayaan dan sabat, dan menolak dalam kegeraman murka-Nya raja dan imam."
30,Ratapan 2,7,"Pangeran mbucal misbyahe piyambak, pasucene katilar, temboking kadhatone padha dipasrahake marang ing tangane mungsuh; mungsuh mau padha ngumbar swara ana ing Padalemaning Allah, memper kaya kramean ing dina riyaya.","Tuhan membuang mezbah-Nya, meninggalkan tempat kudus-Nya, menyerahkan ke dalam tangan seteru tembok puri-purinya. Teriakan ramai mereka dalam Bait Allah seperti keramaian pada hari perayaan jemaah."
31,Ratapan 2,8,"Pangeran Yehuwah wus damel putusan ndadekake gempuran balowartine putri Sion, kabeh wus diukur srana tali ukuran, astane ora mingsed saka anggone bakal ngrisak, balowarti ing jaba lan ing jero padha kadadekake ngadhuh-adhuh lan ngenes kabeh.","TUHAN telah memutuskan untuk mempuingkan tembok puteri Sion. Ia mengukur semuanya dengan tali pengukur, Ia tak menahan tangan-Nya untuk menghancurkannya. Ia menjadikan berkabung tembok luar dan tembok dalam, mereka merana semua."
32,Ratapan 2,9,"Gapurane padha ambles ing bumi, Pangeran Yehuwah ngrisak lan nugel-nugel slarake; rajane lan panggedhene padha dumunung ana ing antarane bangsa manca. Ora ana pitedah saka Sang Yehuwah dalah para nabine padha ora tampa wahyu saka Panjenengane.","Terbenam gapura-gapuranya di dalam tanah; TUHAN menghancurkan dan meluluhkan palang-palang pintunya. Rajanya dan pemimpin-pemimpinnya berada di antara bangsa-bangsa asing. Tak ada petunjuk dari TUHAN, bahkan nabi-nabi tidak menerima lagi wahyu dari pada-Nya."
33,Ratapan 2,10,"Para tuwa-tuwane putri Sion, padha nglosod ana ing lemah, padha nguwur-uwuri awu ing sirahe lan manganggo bagor. Para prawan ing Yerusalem, padha tumungkul konjem ing bumi.","Duduklah tertegun di tanah para tua-tua puteri Sion; mereka menabur abu di atas kepala, dan mengenakan kain kabung. Dara-dara Yerusalem menundukkan kepalanya ke tanah."
34,Ratapan 2,11,"Mripatku nganti nggerong dening luh, remuk bubuk atiku, atiku ajur mumur, marga tumpese putrine bangsaku, dene bocah cilik lan bayi padha sumaput ana ing ara-araning kutha.","Mataku kusam dengan air mata, remuk redam hatiku; hancur habis hatiku karena keruntuhan puteri bangsaku, sebab jatuh pingsan kanak-kanak dan bayi di lapangan-lapangan kota."
35,Ratapan 2,12,"Padha takon marang biyunge: “Endi rotine lan anggure?”, nalika padha sumaput ana ing alun-alune kutha kaya wong kang gugur ana ing paprangan, sarta padha pegat nyawa ana ing pangkone biyunge.","Kepada ibunya mereka bertanya: ""Mana roti dan anggur?"", sedang mereka jatuh pingsan seperti orang yang gugur di lapangan-lapangan kota, ketika menghembuskan nafas di pangkuan ibunya."
36,Ratapan 2,13,"He, putri ing Yerusalem, aku bisa mratelakake apa marang kowe, lan kowe kena dakupamakake apa? He, putri kenya ing Sion, kowe kena dakupamakake apa, kanggo nglipur kowe, marga gempuranmu ambane kaya sagara, sapa kang bisa marasake kowe?","Apa yang dapat kunyatakan kepadamu, dengan apa aku dapat menyamakan engkau, ya puteri Yerusalem? Dengan apa aku dapat membandingkan engkau untuk dihibur, ya dara, puteri Sion? Karena luas bagaikan laut reruntuhanmu; siapa yang akan memulihkan engkau?"
37,Ratapan 2,14,Para nabimu padha nyaritakake marang kowe wahyu kang cidra lan kothong. Padha ora mratelakake kaluputanmu supaya kowe banjur waras maneh. Wangsit-wangsit kang goroh lan nasarake kang dikandhakake marang kowe.,"Nabi-nabimu melihat bagimu penglihatan yang dusta dan hampa. Mereka tidak menyatakan kesalahanmu, guna memulihkan engkau kembali. Mereka mengeluarkan bagimu ramalan-ramalan yang dusta dan menyesatkan."
38,Ratapan 2,15,"Sakehe wong kang liwat, padha keplok-keplok marga meruhi kowe, padha ngeses-ngeses lan gedheg-gedheg, tumrap putri ing Yerusalem, ujare: “Apa iki kutha kang kaaranan luwih dening endah, dadi kasenengane wong salumahing bumi kabeh?”","Sekalian orang yang lewat bertepuk tangan karena engkau. Mereka bersuit-suit dan menggelengkan kepalanya mengenai puteri Yerusalem: ""Inikah kota yang disebut orang kota yang paling indah, kesukaan dunia semesta?"""
39,Ratapan 2,16,"Sakehe mungsuhmu padha ngunek-unekake kowe, padha ngeses-ngeses lan nggeget untu, ujare: “Iku wus padha daksirnakake!” “La, yaiki dina kang dakarep-arep, wus dakalami lan daksipati!”","Terhadap engkau semua seterumu mengangakan mulutnya. Mereka bersuit-suit dan menggertakkan gigi: ""Kami telah memusnahkannya!"", kata mereka, ""Nah, inilah harinya yang kami nanti-nantikan, kami mengalaminya, kami melihatnya!"""
40,Ratapan 2,17,"Pangeran Yehuwah wus nindakake apa kang karancang, wus netepi apa kang dadi pangandikane, kang diundhangake wiwit dhek jaman biyen, wus nggempur tanpa pangeman, mungsuh didadekake seneng ing ngatase kowe, sungune satru-satrumu wus didhuwurake.","TUHAN telah menjalankan yang dirancangkan-Nya, Ia melaksanakan yang difirmankan-Nya, yang diperintahkan-Nya dahulu kala; Ia merusak tanpa belas kasihan, Ia menjadikan si seteru senang atas kamu, Ia meninggikan tanduk lawan-lawanmu."
41,Ratapan 2,18,"Sambat-sambata marang Pangeran kanthi seru, he, putri ing Sion, rina-wengi luhmu milia kaya kali, awakmu aja kokasokake, mripatmu aja nganti leren!","Berteriaklah kepada Tuhan dengan nyaring, hai, puteri Sion, cucurkanlah air mata bagaikan sungai siang dan malam; janganlah kauberikan dirimu istirahat, janganlah matamu tenang!"
42,Ratapan 2,19,"Tangia, ngadhuh-adhuha ing wayah bengi, ing wiwitaning giliraning jaga bengi; isining atimu esokna kaya banyu, ana ing ngarsaning Pangeran, tanganmu egarna marang Panjenengane, amrih uripe anak-anakmu, kang semaput marga saka luwe, ana ing pojoke lurung-lurung.","Bangunlah, mengeranglah pada malam hari, pada permulaan giliran jaga malam; curahkanlah isi hatimu bagaikan air di hadapan Tuhan, angkatlah tanganmu kepada-Nya demi hidup anak-anakmu, yang jatuh pingsan karena lapar di ujung-ujung jalan!"
43,Ratapan 2,20,"Dhuh Yehuwah, Paduka mugi karsaa mirsani saha niti-priksa, sinten ingkang Paduka etrapi makaten punika, punapa tiyang estri kedah nedha wohing wetenganipun piyambak, inggih bayi-bayi ingkang taksih wonten ing bopongan; punapa imam tuwin nabi kedah dipun pejahi wonten ing pasucenipun Pangeran?","Lihatlah, TUHAN, dan tiliklah, kepada siapakah Engkau telah berbuat ini? Apakah perempuan harus makan anak kandungnya, anak-anak yang masih dibuai? Apakah dalam tempat kudus Tuhan harus dibunuh imam dan nabi?"
44,Ratapan 2,21,"Nem-neman lan tiyang sepuh, sami gilang-gilang wonten ing margi, prawan-prawan lan jaka-jaka kawula, sami pejah dening pedhang, sami Paduka pejahi nalika Paduka bendu, Paduka pragad tanpa pangowel.","Terbaring di debu jalan pemuda dan orang tua; dara-daraku dan teruna-terunaku gugur oleh pedang; Engkau membunuh mereka tatkala Engkau murka, tanpa belas kasihan Engkau menyembelih mereka!"
45,Ratapan 2,22,"Kados-kados ing dinten pahargyan Paduka nimbali sadaya ingkang kawula sami ajrihi saking kiwa-tengen. Nalika Pangeran Yehuwah bendu, boten wonten tiyang satunggal kemawon ingkang saged oncat utawi wilujeng. Lare-lare ingkang kawula uthun-uthun saha kawula gula-wenthah, sami dipun pejahi dening mengsah kawula.",Seolah-olah pada hari perayaan Engkau mengundang semua yang kutakuti dari sekeliling. Tatkala TUHAN murka tak ada seorang yang luput atau selamat. Mereka yang kubuai dan kubesarkan dibinasakan seteruku.
46,Ratapan 3,0,Panglipur sajroning kasangsaran,Penghiburan dalam penderitaan
47,Ratapan 3,1,Aku iki wong kang ngalami sangsara marga saka panggebaging dukane Pangeran.,Akulah orang yang melihat sengsara disebabkan cambuk murka-Nya.
48,Ratapan 3,2,Panjenengane nundhung lan nglampahake aku ana ing pepeteng kang ora ana padhange.,Ia menghalau dan membawa aku ke dalam kegelapan yang tidak ada terangnya.
49,Ratapan 3,3,"Lah aku katibanan ing astane marambah-rambah, nganti sadina muput.","Sesungguhnya, aku dipukul-Nya berulang-ulang dengan tangan-Nya sepanjang hari."
50,Ratapan 3,4,"Daging lan kulitku didamel susut, balungku padha ditugeli.","Ia menyusutkan dagingku dan kulitku, tulang-tulangku dipatahkan-Nya."
51,Ratapan 3,5,"Pangeran ngedegake tembok ngungkuli aku, ngupengi aku kalawan kaprihatinan lan kasusahan.","Ia mendirikan tembok sekelilingku, mengelilingi aku dengan kesedihan dan kesusahan."
52,Ratapan 3,6,"Aku dipapanake ing panggonan kang peteng, kaya wong kang wus mati suwe.",Ia menempatkan aku di dalam gelap seperti orang yang sudah lama mati.
53,Ratapan 3,7,"Aku dipepeti, dalan metu ditutup kabeh sarta ditaleni nganggo rante kang abot.","Ia menutup segala jalan ke luar bagiku, Ia mengikat aku dengan rantai yang berat."
54,Ratapan 3,8,"Sanadyan aku sambat-sambat lan bengok-bengok nyuwun tulung, pandongaku ora dipiyarsakake.","Walaupun aku memanggil-manggil dan berteriak minta tolong, tak didengarkan-Nya doaku."
55,Ratapan 3,9,"Dalan-dalanku padha dipepeti nganggo watu tatahan, didadekake ora kena diambah.","Ia merintangi jalan-jalanku dengan batu pahat, dan menjadikannya tidak terlalui."
56,Ratapan 3,10,"Panjenengane prasasat bruwang kang ngadhang marang aku, lan prasasat singa ana ing pandhelikan.","Laksana beruang Ia menghadang aku, laksana singa dalam tempat persembunyian."
57,Ratapan 3,11,"Dalan-dalanku dienggokake, aku disempal-sempal lan ndadosake aku bingung.","Ia membelokkan jalan-jalanku, merobek-robek aku dan membuat aku tertegun."
58,Ratapan 3,12,Gandhewane wus dipenthang lan aku kang dadi lesaning jemparinge.,"Ia membidikkan panah-Nya, menjadikan aku sasaran anak panah."
59,Ratapan 3,13,"Jemparinge kang ana ing endhonge padha dilepasake kabeh, padha manjing ing atiku.",Ia menyusupkan ke dalam hatiku segala anak panah dari tabung-Nya.
60,Ratapan 3,14,"Aku dadi pepoyokane bangsaku kabeh, digawe lagu pangece nganti sadina muput.","Aku menjadi tertawaan bagi segenap bangsaku, menjadi lagu ejekan mereka sepanjang hari."
61,Ratapan 3,15,Aku diwaregi kalawan pepait lan diombeni butrawali.,"Ia mengenyangkan aku dengan kepahitan, memberi aku minum ipuh."
62,Ratapan 3,16,"Untuku diremuk, srana aku diparingi mangan krikil, lan aku diblesekake ing lebu.",Ia meremukkan gigi-gigiku dengan memberi aku makan kerikil; Ia menekan aku ke dalam debu.
63,Ratapan 3,17,"Nyawa kawula Paduka pisahaken saking ing katentreman, kawula kasupen dhateng kabegjan.","Engkau menceraikan nyawaku dari kesejahteraan, aku lupa akan kebahagiaan."
64,Ratapan 3,18,"Ing kono pangiraku: Misuwurku wus sirna, lan pangarep-arepku marang Pangeran Yehuwah wus ilang.",Sangkaku: hilang lenyaplah kemasyhuranku dan harapanku kepada TUHAN.
65,Ratapan 3,19,"“Paduka mugi ngengeti kasangsaran saha anggen kawula kalunta-lunta, punapadene wontenipun butrawali lan wisa.”","""Ingatlah akan sengsaraku dan pengembaraanku, akan ipuh dan racun itu."""
66,Ratapan 3,20,"Nyawa kawula tansah kengetan dhateng prakawis punika, saha nglemprek wonten ing lebet kawula.",Jiwaku selalu teringat akan hal itu dan tertekan dalam diriku.
67,Ratapan 3,21,"Nanging iki kang dakrasakake, lan kang njalari aku duwe pangarep-arep:","Tetapi hal-hal inilah yang kuperhatikan, oleh sebab itu aku akan berharap:"
68,Ratapan 3,22,"Sih-kamirahane Pangeran Yehuwah iku tanpa pedhot, lan sih-kawelasane ora ana enteke.","Tak berkesudahan kasih setia TUHAN, tak habis-habisnya rahmat-Nya,"
69,Ratapan 3,23,"Tansah lumintu, ganti-gumanti saben esuk. Saestu ageng kasetyan Paduka punika!",selalu baru tiap pagi; besar kesetiaan-Mu!
70,Ratapan 3,24,"Osiking atiku: “Pangeran Yehuwah iku dadi pandumanku, mulane dakarep-arep.”","""TUHAN adalah bagianku,"" kata jiwaku, oleh sebab itu aku berharap kepada-Nya."
71,Ratapan 3,25,"Pangeran iku sae tumrap wong kang padha nganti-anti, tumrap nyawa kang ngupaya Panjenengane.","TUHAN adalah baik bagi orang yang berharap kepada-Nya, bagi jiwa yang mencari Dia."
72,Ratapan 3,26,Becik manawa wong nganti-anti marang pitulungane Sang Yehuwah kalawan sabar.,Adalah baik menanti dengan diam pertolongan TUHAN.
73,Ratapan 3,27,Becik manawa wong lanang mikul pasangan nalika nome.,Adalah baik bagi seorang pria memikul kuk pada masa mudanya.
74,Ratapan 3,28,"Iku lungguha dhewekan lan menenga, manawa lagi dietrapi dening Pangeran Yehuwah.",Biarlah ia duduk sendirian dan berdiam diri kalau TUHAN membebankannya.
75,Ratapan 3,29,"Ambruka lan nempelna raine ing lebu, bokmanawa isih ana pangarep-arep.","Biarlah ia merebahkan diri dengan mukanya dalam debu, mungkin ada harapan."
76,Ratapan 3,30,"Pipine diulungna marang kang napuk, dinganti wareg anggone dipoyoki.","Biarlah ia memberikan pipi kepada yang menamparnya, biarlah ia kenyang dengan cercaan."
77,Ratapan 3,31,Awit Pangeran Yehuwah anggone nyebratake ora ing salawase.,Karena tidak untuk selama-lamanya Tuhan mengucilkan.
78,Ratapan 3,32,"Amarga sanadyan Panjenengan maringi kaprihatinan, iya nuli paring palimirma, cundhuk karo sih-kadarmane.","Karena walau Ia mendatangkan susah, Ia juga menyayangi menurut kebesaran kasih setia-Nya."
79,Ratapan 3,33,Awit ora kalawan lila-legawaning galihe manawa maringi kasusahan lan kaprihatinan marang para anake manungsa.,Karena tidak dengan rela hati Ia menindas dan merisaukan anak-anak manusia.
80,Ratapan 3,34,"Manawa ana wong kang ngidak-idak sakehe wong tawanan ing salumahing bumi,","Kalau dipijak-pijak dengan kaki tawanan-tawanan di dunia,"
81,Ratapan 3,35,"manawa wewenanging wong dienggokake ana ing ngarsane Kang Mahaluhur,","kalau hak orang dibelokkan di hadapan Yang Mahatinggi,"
82,Ratapan 3,36,"manawa wong ditanduki kang ora adil tumrap prakarane, iku apa ora diuningani dening Pangeran Yehuwah?","atau orang diperlakukan tidak adil dalam perkaranya, masakan Tuhan tidak melihatnya?"
83,Ratapan 3,37,Sapa ta kang ngandika lan samubarang kabeh banjur ana? Apa dudu Pangeran kang ndhawuhake?,"Siapa berfirman, maka semuanya jadi? Bukankah Tuhan yang memerintahkannya?"
84,Ratapan 3,38,Kang ala lan kang becik iku wijile apa ora saka lesane Kang Mahaluhur?,Bukankah dari mulut Yang Mahatinggi keluar apa yang buruk dan apa yang baik?
85,Ratapan 3,39,Yagene wong urip padha nggresah? Saben wong nggresaha marga saka dosane!,Mengapa orang hidup mengeluh? Biarlah setiap orang mengeluh tentang dosanya!
86,Ratapan 3,40,"Mara, payo padha naliti lan mriksa urip kita, sarta padha bali sowan marang Sang Yehuwah.","Marilah kita menyelidiki dan memeriksa hidup kita, dan berpaling kepada TUHAN."
87,Ratapan 3,41,"Mara, payo padha ngulukake ati lan tangan kita marang Gusti Allah ing swarga lan munjuk:",Marilah kita mengangkat hati dan tangan kita kepada Allah di sorga:
