,bab,ayat,jawa,indo
62,Kidung Agung 4,12,"Yayi, pengantenku, kowe iku pakebonan kang tinutup, pakebonan kang tinutup lan tuking banyu kang sinegel.","Dinda, pengantinku, kebun tertutup engkau, kebun tertutup dan mata air termeterai."
63,Kidung Agung 4,13,"Trubusan-trubusanmu iku pakebonan wit delima, kang enak wohe, kembang pacar lan nared,","Tunas-tunasmu merupakan kebun pohon-pohon delima dengan buah-buahnya yang lezat, bunga pacar dan narwastu,"
64,Kidung Agung 4,14,"nared lan kunir, tebu lan manis jangan, sarta sawernaning wit menyan, mur lan gaharu, apadene sarupaning anggi-anggi pilihan.","narwastu dan kunyit, tebu dan kayu manis dengan segala macam pohon kemenyan, mur dan gaharu, beserta pelbagai rempah yang terpilih."
65,Kidung Agung 4,15,"Dhuh, tuking banyu ing pakebonan, sumbering banyu urip, kang mili saka ing gunung Libanon!","O, mata air di kebun, sumber air hidup, yang mengalir dari gunung Libanon!"
66,Kidung Agung 4,0,Penganten sakaliyan padha sapa-sinapa,Kedua mempelai saling menyapa
67,Kidung Agung 4,16,"-- He angin lor, he angin kidul, tangia lan mrenea, midida ing pakebonanku supaya gandane anggi-anggi ngambar! Muga-muga kekasihku rawuha ing pakebonane lan dhahar woh-wohan kang enak.","--Bangunlah, hai angin utara, dan marilah, hai angin selatan, bertiuplah dalam kebunku, supaya semerbaklah bau rempah-rempahnya! Semoga kekasihku datang ke kebunnya dan makan buah-buahnya yang lezat."
68,Kidung Agung 5,1,"Yayi, pengantenku, aku teka ing pakebonanku, ngumpulake mur lan anggi-anggiku, dakpangan tala lan maduku, dakombe anggur lan puwanku. Para mitra, mangana lan ngombea, ngombea nganti mendem tresna!","--Aku datang ke kebunku, dinda, pengantinku, kukumpulkan mur dan rempah-rempahku, kumakan sambangku dan maduku, kuminum anggurku dan susuku. Makanlah, teman-teman, minumlah, minumlah sampai mabuk cinta!"
69,Kidung Agung 5,0,Kangene penganten putri,Kerinduan mempelai perempuan
70,Kidung Agung 5,2,"Aku turu, nanging atiku melek. Rungokna, kekasihku thothok-thothok. “Wenganana kori, yayi, memanisku, manuk daraku, idham-idhamanku, amarga sirahku klebes ebun, lan rambutku kebak tetesing ebun bengi!”","Aku tidur, tetapi hatiku bangun. Dengarlah, kekasihku mengetuk. ""Bukalah pintu, dinda, manisku, merpatiku, idam-idamanku, karena kepalaku penuh embun, dan rambutku penuh tetesan embun malam!"""
71,Kidung Agung 5,3,"“Kawula sampun cucul rasukan, punapa kawula badhe dandan malih? Kawula sampun mijiki suku kawula, punapa badhe kawula damel reged malih?”","""Bajuku telah kutanggalkan, apakah aku akan mengenakannya lagi? Kakiku telah kubasuh, apakah aku akan mengotorkannya pula?"""
72,Kidung Agung 5,4,"Kekasihku nuli nglebetake astane metu bolonganing kori, atiku temah dheg-dhegan.","Kekasihku memasukkan tangannya melalui lobang pintu, berdebar-debarlah hatiku."
73,Kidung Agung 5,5,"Aku tangi ngwengani kori kekasihku, tanganku netesake mur, drijiku netesake mur cuwer, ing gocekaning kancingan lawang.","Aku bangun untuk membuka pintu bagi kekasihku, tanganku bertetesan mur; bertetesan cairan mur jari-jariku pada pegangan kancing pintu."
74,Kidung Agung 5,6,"Kekasihku dakwengani lawang, nanging kekasihku wis mengker, ngical. Kaya semaput-semaputa aku bareng Panjenengane ngical. Panjenengane daklari, nanging ora tinemu, dakaturi, nanging ora paring wangsulan.","Kekasihku kubukakan pintu, tetapi kekasihku sudah pergi, lenyap. Seperti pingsan aku ketika ia menghilang. Kucari dia, tetapi tak kutemui, kupanggil, tetapi tak disahutnya."
75,Kidung Agung 5,7,"Wong rondha ing kutha bareng padha kepethuk aku, aku dipenthungi, ditatoni, rimongku direbut dening wong kang jaga balowarti.","Aku ditemui peronda-peronda kota, dipukulinya aku, dilukainya, selendangku dirampas oleh penjaga-penjaga tembok."
76,Kidung Agung 5,8,"He, para putri ing Yerusalem, kowe padha daksupatani: manawa kowe kapethuk kekasihku, apa kang arep kokaturake marang Panjenengane? Aturna, yen aku nandhang brangta!","Kusumpahi kamu, puteri-puteri Yerusalem: bila kamu menemukan kekasihku, apakah yang akan kamu katakan kepadanya? Katakanlah, bahwa sakit asmara aku!"
77,Kidung Agung 5,0,Penganten putri ngalembana penganten kakung ana ing ngarepe para putri ing Yerusalem,Mempelai perempuan memuji mempelai laki-laki di hadapan puteri-puteri Yerusalem
78,Kidung Agung 5,9,"-- He wong sulistya ing satengahe para wanita, apa kaceke kekasihmu karo kekasih liyane, dene aku nganti koksupatani mangkene?","--Apakah kelebihan kekasihmu dari pada kekasih yang lain, hai jelita di antara wanita? Apakah kelebihan kekasihmu dari pada kekasih yang lain, sehingga kausumpahi kami begini?"
79,Kidung Agung 5,10,"-- Kekasihku iku putih menthur lan abang sumringah, katon dhewe ana ing antarane wong puluhan ewon.","--Putih bersih dan merah cerah kekasihku, menyolok mata di antara selaksa orang."
80,Kidung Agung 5,11,"Mustakane kaya kancana, kancana murni, remane ngandhan-andhan, ireng kaya gagak.","Bagaikan emas, emas murni, kepalanya, rambutnya mengombak, hitam seperti gagak."
81,Kidung Agung 5,12,"Tingale kaya manuk dara ana ing pinggir kali, siram ing puwan lan lenggah ana ing blumbang kang peres.","Matanya bagaikan merpati pada batang air, bermandi dalam susu, duduk pada kolam yang penuh."
82,Kidung Agung 5,13,"Pangarasane kaya bedhengan anggi-anggi, godhag-godhaganing akar wangi. Lathine kaya bakung, kang netesake mur ajer.","Pipinya bagaikan bedeng rempah-rempah, petak-petak rempah-rempah akar. Bunga-bunga bakung bibirnya, bertetesan cairan mur."
83,Kidung Agung 5,14,"Astane giligan kancana, rinengga ing sesotya Tarsis, sarirane pindha gadhing ingukir, tinretes ing watu nilam.","Tangannya bundaran emas, berhiaskan permata Tarsis, tubuhnya ukiran dari gading, bertabur batu nilam."
84,Kidung Agung 5,15,"Sampeyane iku saka marmer putih, tumumpang ing dhasar kancana murni. Sarirane kadya gunung Libanon, pinilih kaya wit anjir.","Kakinya adalah tiang-tiang marmar putih, bertumpu pada alas emas murni. Perawakannya seperti gunung Libanon, terpilih seperti pohon-pohon aras."
85,Kidung Agung 5,16,"Pangandikane tuhu manis, sapari-polahe ngresepake, kaya mangkono iku kekasihku, iya kaya mangkono iku, he para putri ing Yerusalem!","Kata-katanya manis semata-mata, segala sesuatu padanya menarik. Demikianlah kekasihku, demikianlah temanku, hai puteri-puteri Yerusalem."
86,Kidung Agung 6,1,"-- Menyang ngendi tindake kekasihmu, he, wong sulistya ing satengahe para wanita? Menyang ngendi enering tindake kekasihmu, aku arep padha ngrewangi kowe nggoleki.","--Ke mana perginya kekasihmu, hai jelita di antara wanita? Ke jurusan manakah kekasihmu pergi, supaya kami mencarinya besertamu?"
87,Kidung Agung 6,2,"-- Kekasihku tedhak menyang ing pakebonan, ing bedheng-bedhenging anggi-anggi, ngengen wedhuse ana ing pakebonan lan methiki kembang bakung.","--Kekasihku telah turun ke kebunnya, ke bedeng rempah-rempah untuk menggembalakan domba dalam kebun dan memetik bunga bakung."
88,Kidung Agung 6,3,"Aku iki kagungane kekasihku, lan kekasihku iku darbekku, kang angen wedhus gembel ana ing satengahing kembang bakung.","Aku kepunyaan kekasihku, dan kepunyaanku kekasihku, yang menggembalakan domba di tengah-tengah bunga bakung."
89,Kidung Agung 6,0,Penganten kakung ngalembana penganten putri,Mempelai laki-laki memuji mempelai perempuan
90,Kidung Agung 6,4,"Kowe iku endah ing warna, dhuh memanisku, kaya kutha Tirza, edi-endah kaya kutha Yerusalem, ngebat-ebati kaya balatantra kalawan tunggule.","Cantik engkau, manisku, seperti kota Tirza, juita seperti Yerusalem, dahsyat seperti bala tentara dengan panji-panjinya."
91,Kidung Agung 6,5,"Mripatmu engokna saka aku, amarga aku dadi ngleleng marga saka iku. Rambutmu pindha pepanthan wedhus, kang tumurun ngombak-ombak saka ing gunung Gilead.","Palingkanlah matamu dari padaku, sebab aku menjadi bingung karenanya. Rambutmu bagaikan kawanan kambing yang bergelombang turun dari Gilead."
92,Kidung Agung 6,6,"Untumu kadya pepanthan wedhus gembel, kang jumedhul saka pangguyangan, kabeh padha manak kembar, ora ana kang ora duwe anak.","Gigimu bagaikan kawanan domba, yang keluar dari tempat pembasuhan, yang beranak kembar semuanya, yang tak beranak tak ada."
93,Kidung Agung 6,7,"Pilinganmu kaya woh dlima sinigar, ana ing ngisoring kudhungmu.",Bagaikan belahan buah delima pelipismu di balik telekungmu.
94,Kidung Agung 6,8,"Prameswarine ana sewidak, ampile wolung puluh, lan para kenya tanpa wilangan cacahe.","Permaisuri ada enam puluh, selir delapan puluh, dan dara-dara tak terbilang banyaknya."
95,Kidung Agung 6,9,"Nanging mung dheweke kang dadi manukku dara, idham-idhamanku, putrane ibune kang ora ana tunggale, kang kinasihan dening kang nglairake, para putri padha ndeleng lan ngarani begja, para prameswari lan para ampil padha ngalembana.","Tetapi dialah satu-satunya merpatiku, idam-idamanku, satu-satunya anak ibunya, anak kesayangan bagi yang melahirkannya; puteri-puteri melihatnya dan menyebutnya bahagia, permaisuri-permaisuri dan selir-selir memujinya."
96,Kidung Agung 6,10,"“Sapa kae kang jumedhul kadya bangbang wetan, endah lir wulan purnama, sumunar kaya surya, ngebat-ebati kaya balatantra kalawan tunggule?”","""Siapakah dia yang muncul laksana fajar merekah, indah bagaikan bulan purnama, bercahaya bagaikan surya, dahsyat seperti bala tentara dengan panji-panjinya?"""
97,Kidung Agung 6,11,"Aku mudhun menyang pakebonan kenari, ndeleng kuncup-kuncup ing lebak, niliki apa wite anggur wus kuncup lan wit-wite dlima apa wis kembang.","Ke kebun kenari aku turun melihat kuntum-kuntum di lembah, melihat apakah pohon anggur berkuncup dan pohon-pohon delima berbunga."
98,Kidung Agung 6,12,"Aku ora eling, kangenku nglungguhake aku ana ing karetane wong luhur.",Tak sadar diri aku; kerinduanku menempatkan aku di atas kereta orang bangsawan.
99,Kidung Agung 6,13,"Dhuh prawan Sulam, balia, balia, balia, balia, supaya aku padha bisa nyawang kowe. Kena apa kowe seneng nyawang prawan Sulam iku kaya nonton beksan perang?","Kembalilah, kembalilah, ya gadis Sulam, kembalilah, kembalilah, supaya kami dapat melihat engkau! Mengapa kamu senang melihat gadis Sulam itu seperti melihat tari-tarian perang?"
100,Kidung Agung 7,1,"Dhuh putri kang luhur ing budi, iba endahe lakumu karo nganggo sandhal iku, solahing cethikmu kaya rerenggan, gegaweaning tangane seniman.","Betapa indah langkah-langkahmu dengan sandal-sandal itu, puteri yang berwatak luhur! Lengkung pinggangmu bagaikan perhiasan, karya tangan seniman."
101,Kidung Agung 7,2,"Pusermu pindha bundering bokor, kang tan lukak isi anggur cinampur. Padharanmu kaya gandum tinumpuk, kinubengan ing kembang bakung.","Pusarmu seperti cawan yang bulat, yang tak kekurangan anggur campur. Perutmu timbunan gandum, berpagar bunga-bunga bakung."
102,Kidung Agung 7,3,"Payudaramu lir anak menjangan loro, kadya anak kidang kembar.","Seperti dua anak rusa buah dadamu, seperti anak kembar kijang."
103,Kidung Agung 7,4,"Gulumu pindha menara gadhing, mripatmu kadi telaga ing Hesybon, cedhak gapura Batrabim; irungmu kaya menara ing Libanon, kang madhep marang ing kutha Damsyik.","Lehermu bagaikan menara gading, matamu bagaikan telaga di Hesybon, dekat pintu gerbang Batrabim; hidungmu seperti menara di gunung Libanon, yang menghadap ke kota Damsyik."
