jawa,indo
Nek ndelok sesuatu sing gak sesuai ambek atimu ngucapo.,"Jika melihat sesuatu yang tidak sesuai dengan hatimu, ucapkanlah kata-kata yang baik."
Nek lagi ditimpo masalah ngucapo.,"Ketika sedang ditimpa masalah, ucapkanlah kata-kata yang baik."
Dan sek akeh maneh ucapan-ucapan apik sing isok dipraktekno nang keseharian.,Masih banyak lagi ucapan-ucapan baik yang bisa dipraktikkan dalam kehidupan sehari-hari.
Koncoku wingi iku cerito nag penggaweane sing kudune dilakoni ambek dek saiki disrobot wong mergane deke loro.,Temanku kemarin bercerita tentang pekerjaannya yang seharusnya dia kerjakan tetapi sekarang diambil alih orang lain karena dia sedang sakit.
Terus keadaan sing ngunuku tibake dimanfaatno ambek koncone maeng.,"Lalu, situasi tersebut ternyata dimanfaatkan oleh temannya tadi."
Akhire bocae muring-muring polahe perkoro maeng.,"Akhirnya, dia marah-marah karena kejadian tadi."
Terus tak wara ojo sampek srengen iku dadekno awakmu geting ambek uwong opo maneh sampek dasmu loro.,Lalu aku bilang jangan sampai amarah itu membuatmu benci pada orang lain apalagi sampai hatimu sakit.
Soale akeh dokter sing nganjurno nag uwong iku ojo seneng utowo gampang ngamukan soale iso dadekno wong iku maeng gampang stroke mag ambek endase loro.,"Sebab banyak dokter yang menganjurkan agar orang jangan suka marah atau mudah emosi karena itu bisa membuat orang mudah terkena stroke, maag, dan sakit kepala."
Anjuran maeng iku ora kanggo wong tuo tok tapik kanggo wong enom barang yo kudu iso ngendalekno roso srengen maeng.,"Anjuran tadi bukan hanya untuk orang tua, tapi untuk anak muda juga harus bisa mengendalikan rasa marahnya."
Ben ora dadekno pirang-pirang penyakit sing mrawasno.,Agar tidak menimbulkan berbagai penyakit yang berbahaya.
Aku entuk piala pertamaku kui pas SMP.,Aku mendapatkan piala pertamaku saat SMP.
Piala kui penghargaan mergo aku entuk biji 10 neng mata pelajaran matematika pas Ujuan Nasional.,Piala itu penghargaan karena aku mendapat nilai 10 pada mata pelajaran matematika saat Ujian Nasional.
Pialane kui cilik seko plastik.,"Pialanya kecil, terbuat dari plastik."
Wernone kuning keemasan mengkilap.,Warnanya kuning keemasan yang berkilau.
Neng duwure ono logo sekolahanku SMP 15.,"Di bagian atasnya ada logo sekolahku, SMP 15."
Neng ngisore ono jenengku lan ono tulisan Biji Paling Duwur 100 Bidang Studi Matematika.,Di bawahnya ada namaku dan tulisan Nilai Tertinggi 100 Bidang Studi Matematika.
Aku isih iling banget piye rasane pas nyekel piala kui.,Aku masih ingat sekali bagaimana rasanya saat memegang piala itu.
Seko bangku aku diceluk munggah panggung.,"Dari bangku, aku dipanggil naik ke panggung."
Panggunge kui werno biru ora duwur-duwur banget neng ngisor tendo sing uga werno biru.,"Panggungnya berwarna biru, tidak terlalu tinggi, di bawah tenda yang juga berwarna biru."
Pas kui sing ngewehi pialane kui guru matematikaku.,Saat itu yang memberikan pialanya adalah guru matematikaku.
Aku nyekel piala kui rodo gemeter.,Aku memegang piala itu agak gemetar.
Ono rasa ora percoyo entuk penghargaan koyo ngene.,Ada rasa tidak percaya mendapatkan penghargaan seperti ini.
Bar kui wong-wong podo tepuka tangan.,"Setelah itu, orang-orang bertepuk tangan."
Aku lagi ngerti oh ngene toh rasane disoraki.,"Aku baru mengerti, oh begini rasanya disoraki."
Taman Safari Prigen kuwi salah sijine taman safari ning Indonesia sing nyediakake panggon khusus lan wahana sing alami kanggo satwa ben urip kaya ning habitate,Taman Safari Prigen merupakan salah satu taman safari di Indonesia yang menyediakan tempat khusus dan wahana alam bagi satwa liar untuk hidup di habitat aslinya.
Taman Safari Prigen kuwi salah sijine taman safari ning Indonesia sing nyediakake panggon khusus lan wahana sing alami kanggo satwa ben urip kaya ning habitate.,Taman Safari Prigen adalah salah satu taman safari di Indonesia yang menyediakan tempat khusus dan wahana alami untuk satwa agar hidup seperti di habitatnya.
Taman Safari Prigen iki uga cocok kanggo keluwarga sing duwe anak cilik kanggo ngenal satwa sak durunge kenalan ning bangku sekolah.,Taman Safari Prigen ini juga cocok untuk keluarga yang memiliki anak kecil agar mengenal satwa sebelum mempelajarinya di bangku sekolah.
Taman safari iki uga ngewenahi pengalaman lan interaksi sing luwih cedhak karo para satwa.,Taman safari ini juga memberikan pengalaman dan interaksi yang lebih dekat dengan satwa.
Kamangka kuwi Taman Safari Prigen iki wajib ditekani yen lagi liburan.,"Oleh karena itu, Taman Safari Prigen ini wajib dikunjungi saat liburan."
Kancakanca uga bisa langsung takon carane pesen tiket lan regane.,Teman-teman juga bisa langsung bertanya tentang cara memesan tiket dan harganya.
Ayo padha ning Taman Safari Prigen.,Ayo pergi ke Taman Safari Prigen.
Nanging ya ana wong sing digawa nang ngendi wae mesti muntah ning ndhuwur kendaraan lan bakal angek diresiki.,Tetapi ada juga orang yang dibawa ke mana pun pasti muntah di atas kendaraan dan akhirnya harus dibersihkan.
Wong sing kaya iki biyasane angel yen dijak menyang ngendi-ngendi sing adoh.,Orang seperti ini biasanya sulit diajak pergi ke tempat jauh.
Kamangka biyasane numpak kendaraan umum sing minim goncangan kaya pesawat uga sepur.,Padahal biasanya mereka naik kendaraan umum yang minim guncangan seperti pesawat atau kereta api.
Kamangka kuwi kanggo kanca sing sering mabuk darat sering-sering wae numpak kendaraan umum kanggo latihan lan ben ora gampang kepikiran mabuk darat.,"Oleh karena itu, untuk teman yang sering mabuk perjalanan, sering-seringlah naik kendaraan umum untuk latihan agar tidak mudah mabuk perjalanan."
Uga ora kesugesti kanggo muntah.,Dan tidak terpengaruh sugesti untuk muntah.
Salah siji wisata alam sing sengedan nag Jogja tepak e nag Kulon Progo yaiku wisata alam Kalibiru.,"Salah satu wisata alam yang istimewa di Jogja, tepatnya di Kulon Progo, adalah wisata alam Kalibiru."
Wisata iki sak benere parek karo sing jenenge wadok Sermo.,Wisata ini sebenarnya dekat dengan waduk Sermo.
Cumak panggonane sing rodok sengedan akhire ora kabeh kendaraan iso mlebu.,Tetapi tempatnya yang agak terpencil membuat tidak semua kendaraan bisa masuk.
Dalan sing digawe mlebu mrono yo isek ciut dadi kendaraan sing cilik-cilik tok sing isek iso mlebu.,Jalan yang dibuat ke sana masih sempit sehingga hanya kendaraan kecil yang bisa masuk.
Nag wisatae yo apik soale akeh panggonan sing wes disiapno kanggo foto.,Tempat wisatanya juga bagus karena ada banyak tempat yang sudah disiapkan untuk berfoto.
Banyune podo ambek jenenge yoiku biru ora ijo.,"Airnya sesuai namanya, yaitu biru, bukan hijau."
Terus nag kaline iku lemahe warnae putih.,"Lalu, dasar sungainya berwarna putih."
Dadi tambah ketok apik.,Jadi terlihat semakin indah.
Terus mili banyune iku ondak-ondakan koyok tingkat-tingkat ngono.,Kemudian airnya mengalir bertingkat-tingkat seperti berundak.
Terus ono panggonane digawe ngelangi barang.,Ada juga tempat yang dibuat untuk berenang.
Dadi nag kono yo apik lah awit teko fasilitasi sampek opo sing disuguhno di gawe wong sing teko kono.,"Jadi, tempat itu memang bagus, mulai dari fasilitas hingga apa yang disediakan untuk pengunjung."
Nanging nek pengin ngono yo mesti siap-siap awak soale dalane meh podo karo dolan nang alas.,"Tetapi kalau ingin ke sana, harus siap fisik karena jalannya hampir seperti masuk ke hutan."
Wong-wong sing do dolan neng kana yo mesti duwe niat sakdurunge.,Orang-orang yang pergi ke sana pasti punya niat sebelumnya.
"Ora mung munggah nang kaline wae, nanging uga bisa dolan ning panggonan sak upame petilasan kayu sing ana sak ndhuwure.","Tidak hanya menuju sungainya, tetapi juga bisa bermain di tempat lain seperti petilasan kayu yang ada di atasnya."
Nek arep ngeneh mesthi yo kudu akeh istirahat ben awakmu ora gampang kesel.,"Kalau mau seperti itu, tentu harus banyak istirahat agar tubuhmu tidak mudah lelah."
"Ya semono uga nalika arep mudun, amarga dalane curam banget.","Begitu pula saat turun, karena jalannya sangat curam."
Tapi kabeh iku pancen pantes kanggo ngelakoni.,Tetapi semua itu memang layak untuk dilakukan.
Kalibiru iki saiki wis akeh sing ngerti lan akeh sing nyoba kanggo dolan kesana.,Kalibiru ini sekarang sudah banyak yang tahu dan mencoba pergi ke sana.
Ora ketang mung kanggo foto tok.,Tidak masalah meskipun hanya untuk berfoto saja.
Wong-wong sing ora wedi nganggo dalane yo mesthi luwih seneng nyoba fasilitas sing ana.,Orang-orang yang tidak takut dengan jalannya tentu lebih senang mencoba fasilitas yang ada.
Sampeyan bisa numpak ojek yen ora pengin njaluk kendaraane mudhun.,Kamu bisa naik ojek jika tidak ingin membawa kendaraan turun.
Akeh sing nyaranake ben ora ngeterake kendaraane dhewe sampek ngisor.,Banyak yang menyarankan agar tidak membawa kendaraan sendiri sampai bawah.
Kuwi amarga dalane curam lan isih nganggo lemah tanpa aspal sing bisa nggawe kendaraan mundur sak ora-ora.,Itu karena jalannya curam dan masih berupa tanah tanpa aspal yang bisa membuat kendaraan mundur tiba-tiba.
Nek pengin dolan neng kana yo disiapake awakmu kanggo nggawe tenaga ekstra.,"Kalau ingin pergi ke sana, siapkan tubuhmu untuk tenaga ekstra."
Amarga wisata iki ora cocok kanggo wong sing ora duwe tenaga utawa gampang kesel.,Karena wisata ini tidak cocok untuk orang yang tidak punya banyak tenaga atau mudah lelah.
"Nanging kanggo wong-wong sing seneng tantangan, Kalibiru iki salah siji panggonan sing kudu banget dicoba.","Tetapi bagi orang-orang yang suka tantangan, Kalibiru ini adalah salah satu tempat yang wajib dicoba."
Wisata iki pancen istimewa.,Wisata ini memang istimewa.
"Ora mung amarga pandangan alam sing apik, nanging uga pengalaman sing ora iso dilalekake.","Bukan hanya karena pemandangannya yang indah, tetapi juga pengalaman yang tak terlupakan."
Pengalaman sing menehi rasa lega sak rampunge tekan kana lan nikmati kabeh.,Pengalaman yang memberikan rasa lega setelah sampai di sana dan menikmati semuanya.
Kalibiru iki tetep dadi salah sijine wisata andalan sing ana ing Jogja.,Kalibiru ini tetap menjadi salah satu wisata unggulan di Jogja.
Wingi pas aku melok ngerayakno ulang tahune koncoku,Kemarin saat aku ikut merayakan ulang tahun temanku
Bocahe maeng ketok jumbul soale bocahe ora ngerti nag oleh hadiah sing ulang tahun sing koyok ngene teko bocah-bocah,Anak itu tadi terlihat bingung karena dia tidak tahu bahwa ulang tahun seperti ini mendapatkan hadiah dari anak-anak
Saking senenge bocahe maeng sampek nangis-nangis polahe senenge megilan tapi yo campur jumbul,"Karena saking senangnya, anak itu sampai menangis-nangis, polahnya senang sekali tapi juga campur bingung"
Yo asline apik wae se soale jumbule maeng jurus nang perkoro sing apik soale iso dadekno wong liyo yo seneng ambek jumbule maeng,"Sebenarnya baik saja, karena kebingungannya tadi akhirnya mengarah pada hal yang baik, sebab bisa membuat orang lain ikut senang dengan kebingungannya tadi"
Mangkane wong-wong nang ono koncone sing ulang tahun mesti gawe perkoro ben sing ulang tahun maeng jumbul tapi mari ngunu seneng soale oleh hadiah ulang tahun,"Makanya orang-orang di sekitar temannya yang ulang tahun pasti membuat hal-hal agar yang ulang tahun itu bingung, tapi setelah itu senang karena dapat hadiah ulang tahun"
Masio hadiae iku ora bejaji tapi sing penting iku iso dadekno roso seneng sing bener-bener teko jero ati,"Meskipun hadiahnya tidak seberapa, tapi yang penting bisa memberikan rasa senang yang benar-benar dari dalam hati"
Kegiyatan rutin agama ning kampung yaiku salah sawijine kumpulan maca yasin bareng-bareng utawa yasinan,Kegiatan rutin keagamaan di kampung adalah salah satunya berkumpul membaca yasin bersama-sama atau yasinan
Sejatine maca yasin bareng iki bisa dadi sarana kanggo ngeraketake seduluran kaya diba an,Sebenarnya membaca yasin bersama ini bisa menjadi sarana untuk mempererat persaudaraan seperti diba'an
Nanging apa sing diwaca bedha lan kadang uga tujuane ya bedha,Namun apa yang dibaca berbeda dan terkadang tujuannya juga berbeda
Maca yasin iki identik karo pengajian rampung ana wong seda,Membaca yasin ini identik dengan pengajian setelah ada orang meninggal
Kamangka kuwi yen ning kampung ana yasinan gek padha melu amarga manfaate ya akeh banget,"Tetapi di kampung, jika ada yasinan pasti ikut karena manfaatnya banyak sekali"
Ono loro reaksi wong yen kerungu koncone keluargane utowo wong cerak liyane kui dadi ateis,"Ada dua reaksi orang jika mendengar temannya, keluarganya, atau orang dekat lainnya menjadi ateis"
Ono sing ngedukung lan ono sing kaget ora percoyo,Ada yang mendukung dan ada yang kaget tidak percaya
Sing ngedukung kui reaksine biasa wae,Yang mendukung reaksinya biasa saja
Dheweke ngerti nek kepercayaan kui ora iso dipeksoke,Mereka tahu bahwa keyakinan itu tidak bisa dipaksakan
Nek dheweke wis entuk hidayah dheweke bakal balik meneh neng agama,"Jika mereka sudah mendapatkan hidayah, mereka akan kembali lagi ke agama"
Nanging mungkin wae yen dheweke pindah neng agama liyo akhire,Namun mungkin saja jika akhirnya mereka pindah ke agama lain
Nanging sing kaget kui reaksine bedo,Namun yang kaget reaksinya berbeda
Dheweke ora percoyo wong cerake ono sing ora duwe agama,Mereka tidak percaya ada orang dekatnya yang tidak memiliki agama
Biasane won-wong sing koyo ngono kui terikat banget karo agamane,Biasanya orang-orang seperti itu sangat terikat dengan agamanya
Dheweke ngeroso yen wonge kui ora duwe agama kui dosone gedhe,Mereka merasa bahwa orang yang tidak memiliki agama itu dosanya besar
Dheweke ora gelem wong sing dheweke kenal kui mlebu neroko,Dia tidak ingin orang yang dia kenal masuk neraka
Urip dewe ing perantauan ora mesti nggarai wegah,Hidup sendiri di perantauan tidak selalu membuat enggan
Senajan sedih ora saben dina kumpul karo kaluwargane nanging isih ana cara supaya ora kesepian,"Meskipun sedih tidak bisa berkumpul dengan keluarganya setiap hari, masih ada cara agar tidak merasa kesepian"
Kaping siji aja lali kanggo telpon klauwarga saben dina,"Pertama, jangan lupa untuk menelepon keluarga setiap hari"
Yen ora bisa saben dina ya bisa 3 dina pisan supaya ora ngerasa kesepian,"Jika tidak bisa setiap hari, bisa 3 hari sekali agar tidak merasa kesepian"
Kaping loro pasang tv ana ing omah supaya nalika mulih saka kerja lan ngerasa sepi bisa langsung ndelok tv,"Kedua, pasang TV di rumah agar ketika pulang kerja dan merasa sepi bisa langsung menonton TV"
Kaping telu yen bisa gelek ngejak kanca dolan ana ing omah,"Ketiga, jika bisa, ajak teman bermain di rumah"
Mbuh kanggo masak bareng apa gur kanggo ngancani ndelok tv,Entah untuk memasak bersama atau hanya untuk menemani menonton TV
Sing terakhir yen ora kepingin kesepian banget bisa golek kegiatan sing akeh supaya tansah repot lan dadine ora kepikiran babagan kesepian ana ing omah dewe adoh saka kaluwarga,"Terakhir, jika tidak ingin terlalu kesepian, bisa mencari banyak kegiatan agar tetap sibuk dan tidak memikirkan kesepian di rumah sendiri yang jauh dari keluarga"
Turu ing hotel kanggo pirang-pirang wong wis dadi babagan sing lumrah,Menginap di hotel bagi sebagian orang sudah menjadi hal yang biasa
Nanging beda kanggo kaluwargane Pak Bandi,"Namun, berbeda untuk keluarga Pak Bandi"
Turu ing hotel dadi pengalaman pertama kanggo Pak Bandi lan anak-anake,Menginap di hotel menjadi pengalaman pertama bagi Pak Bandi dan anak-anaknya
Minggu wingi Pak Bandi dijak karo mantune yaiku Mbak Mila kanggo preian ana ing Bandung,"Minggu lalu, Pak Bandi diajak oleh menantunya, yaitu Mbak Mila, untuk berlibur di Bandung"
Ora mung dolan Pak Bandi lan anak-anake uga dijak kanggo turu ing hotel sing apik banget,"Tidak hanya jalan-jalan, Pak Bandi dan anak-anaknya juga diajak menginap di hotel yang sangat bagus"
Sarapan oleh teka hotel nalika rada awan sithik uga bisa renang ana ing kolam renang hotel turune ana ing kasur sing empuk banget lan kamar sing adhem amarga ana ACne,"Sarapan disediakan di hotel, saat agak siang juga bisa berenang di kolam renang hotel, tidurnya di kasur yang sangat empuk dan kamar yang sejuk karena ada AC-nya"
Pak Bandi turu hotel 3 dina 2 wengi lan banjur mulih ana ing omah,Pak Bandi menginap di hotel selama 3 hari 2 malam dan kemudian pulang ke rumah
Salah siji tembung sing bisa ngundang murka kanggo wong sing sensitif yaiku salah sijine nigga,"Salah satu kata yang dapat memicu kemarahan bagi orang yang sensitif adalah kata ""nigga"""
Tembung iki asale saka basa Inggris sing uga artine negro,Kata ini berasal dari bahasa Inggris yang juga berarti negro
Tembung iki duwe makna sing negatif uga bisa marai gelut yen sembarangan diucapake amarga sejarah tembung iki yaiku saka budhaya hiphop AfrikaAmerika,Kata ini memiliki makna yang negatif dan dapat memicu perkelahian jika diucapkan sembarangan karena sejarah kata ini berasal dari budaya hip-hop Afrika-Amerika
Tembung nigga iki dadi salah siji bentuk ngelawan marang wong Afrika sing ana ning Amerika lan dianggep duwe derajat sing rendah,"Kata ""nigga"" ini menjadi salah satu bentuk perlawanan terhadap orang Afrika yang ada di Amerika dan dianggap memiliki derajat yang rendah"
Kamangka tembung iki dadi tembung si dilarang ning sosial media amarga bisa nyinggung lan bisa marai salah paham,Padahal kata ini menjadi kata yang dilarang di media sosial karena dapat menyinggung dan menyebabkan kesalahpahaman
Akeh lagu-lagu sing uga ngilangi tembung iki ben ora dicekal dan dilarang ana ning masyarakat,Banyak lagu yang juga menghilangkan kata ini agar tidak dicekal dan dilarang di masyarakat
Udang kuwi jinis kewan laut kang paling umum dipangan dening wong Indonesia saliyane iwak utawa ulam,Udang adalah jenis hewan laut yang paling umum dimakan oleh orang Indonesia selain ikan
Tekstur udang kang lembut pancen gawe rasa enak nalika mangan jinising seafood iki,Tekstur udang yang lembut memang membuat rasa enak saat makan jenis seafood ini
Akeh jinis masakan kang bahan dhasare saka udang kayata udang asam manis udang saus padang bakso goreng udang bakwan jagung campur udang udang goreng tepung roti lan sapanunggalane,"Banyak jenis masakan yang berbahan dasar udang, seperti udang asam manis, udang saus padang, bakso goreng udang, bakwan jagung campur udang, udang goreng tepung roti, dan sebagainya"
Pranyata kajaba gampang diolah dadi maneka warna masakan udang duwe akeh kaluwihan ing antarane,"Ternyata selain mudah diolah menjadi berbagai masakan, udang memiliki banyak kelebihan di antaranya"
bisa ningkatake fungsi otak bisa dadi srana ngendhani anemia bisa dadi srana ngendhani gondok lan kemandulan bisa ngewangi pembentukan sel tubuh bisa nyegah penuaan dini uga bisa ngendhani osteoporosis,"bisa meningkatkan fungsi otak, bisa menjadi sarana mencegah anemia, mencegah gondok dan kemandulan, membantu pembentukan sel tubuh, mencegah penuaan dini, serta mencegah osteoporosis"
Jebul udang duwe akeh manfaat ya Ca,Ternyata udang memiliki banyak manfaat ya Ca
Ayo barangbareng mangan udang nanging samadya wae mengko mundhak kolesterol yen aluamah hahaha,"Ayo bersama-sama makan udang, tapi secukupnya saja nanti kolesterol naik kalau berlebihan hahaha"
Awak dewe sebagai umat Islam iku kudu ngeyakini nek keberadaan jin iku onok nyatane soale iku wes dadi Rukun Iman sing kudu dilakoni,Kita sebagai umat Islam harus meyakini bahwa keberadaan jin itu ada karena itu sudah menjadi Rukun Iman yang harus dijalani
Tapi kadangan awak dewe iku tau nemoni jin sing rese nang awak dewe dan iku marakno awak dewe wedi dewe,Tapi kadang kita bertemu jin yang usil pada kita dan itu membuat kita jadi takut sendiri
Padahal jin iku gak bakal ganggu nek awakmu gak ngusik mereka,Padahal jin tidak akan mengganggu jika kamu tidak mengusik mereka
Biasane mereka iku bakal ngeroso keusik nek misal awak dewe gak sengojo melbu nang teritorial e dee,Biasanya mereka akan merasa terganggu jika kita tidak sengaja masuk ke wilayah mereka
Tapi kadangan sisan mereka sek bakal tenang asal awak dewe gak aneh-aneh nang teritorial e mereka,Tapi kadang mereka tetap tenang asalkan kita tidak berbuat aneh-aneh di wilayah mereka
Dadi gawe awakmu nek lagi nang ndi ae gak usah atek kakean pola nek gak gelem diganggu karo jin,"Jadi untuk kamu, kalau berada di mana pun, tidak usah bertingkah aneh kalau tidak mau diganggu oleh jin"
Saiki akeh boca-boca sing senengane dolanan tiktokan,Sekarang banyak anak-anak yang suka bermain TikTok
Nah nang tiktokan iku bocah-bocah iso joget-joget sak karepe dewe,"Nah, di TikTok anak-anak bisa menari-nari sesuka hati mereka"
Moromoro koncone maeng pas kringi lagune tiktok maeng langsung joget ambek jinjakjinak akire diguru ambek koncoku terus dielokno,"Tiba-tiba, temannya tadi saat mendengar lagu TikTok langsung menari dengan gerakan aneh, akhirnya ditiru oleh temanku lalu ditertawakan"
Yo ngunuku nag kakean tiktokan dadi kenek sindrom tiktok,"Ya seperti itu, kalau terlalu banyak TikTok-an jadi terkena sindrom TikTok"
Terus iku yo ora apik kanggo kesehatane mental polahe garai ketagehan ambek sing jenenge tiktok maeng,Dan itu juga tidak baik untuk kesehatan mental karena membuat kecanduan dengan yang namanya TikTok
La La Land kui film favoritku,La La Land itu film favoritku
Aku nonton film kui wis peng loro,Aku sudah menonton film itu dua kali
Saking senenge aku ugo wis moco naskah filme tekan peng 3,Saking senangnya aku juga sudah membaca naskah filmnya hingga tiga kali
Film kui disutradai karo Damien Chazelle,Film itu disutradarai oleh Damien Chazelle
Film iki nyeritake kisah cinta Mia sing kepengen dadi artis lan musisi jazz Sebastian sing kepengen duwe klub jazz dhewe,Film ini menceritakan kisah cinta Mia yang ingin menjadi artis dan musisi jazz Sebastian yang ingin memiliki klub jazz sendiri
Ora mung ngomong soal tresno-tresnoan film iki crito wong sing kerja keras kanggo ngewujudke impiane,"Tidak hanya membahas soal cinta, film ini bercerita tentang orang yang bekerja keras untuk mewujudkan mimpinya"
Podo koyo judule La La Land iki kisah 2 wong sing berusaha keras neng Las Vegas,"Sesuai dengan judulnya La La Land, ini adalah kisah 2 orang yang bekerja keras di Las Vegas"
Las Vegas kui dadi kota pusat hiburan neng Amerika Serikat,Las Vegas adalah kota pusat hiburan di Amerika Serikat
Selain seko ceritane lagu-lagu sing enggo neng kene uga apik,"Selain ceritanya, lagu-lagu yang digunakan di sini juga bagus"
Lagune kui digawe karo Justin Hurwitz komposer sing wis kerja sama karo Chazelle ning film Whipsplash,"Lagunya dibuat oleh Justin Hurwitz, komposer yang sudah bekerja sama dengan Chazelle di film Whiplash"
Ora tega aku delok wong sing sekarat,Aku tidak tega melihat orang yang sekarat
Dheweke isih urip isih ono nafase nanging wis ora iso ngopo-ngopo,"Dia masih hidup, masih ada napasnya, tetapi sudah tidak bisa apa-apa"
Uripe kui koyo wis ora ono nanging nyawane iso ono neng jero awake,"Hidupnya seperti sudah tidak ada, tetapi jiwanya masih berada di dalam tubuhnya"
Sing iso dilakoke kui mung teturon wae,Yang bisa dilakukan hanya tidur saja
Ngomong wae durung tentu iso lancar lan uga wis ora iso ngomong banter,Bicara pun belum tentu lancar dan juga sudah tidak bisa bicara keras
Mesthi dhewe ngeroso ora kepenak banget mergone uripe dhewe kui tergantung karo wong liyo,Pasti dia merasa sangat tidak nyaman karena hidupnya bergantung pada orang lain
Dheweke wis ora iso ngurus kebutuhan dhewe,Dia sudah tidak bisa mengurus kebutuhannya sendiri
Yen arep madang kudu didulang,Jika ingin makan harus disuapi
Nalika arep siram kudu ngeteni wong sing gelem ngedusi teko,Saat ingin mandi harus menunggu orang yang bersedia memandikan
Dheweke mesthi ngeroso ora berguna banget,Dia pasti merasa sangat tidak berguna
Sak ben delok wong sing sekart kui aku dadi wedi dhewe,Setiap kali melihat orang sekarat aku jadi takut sendiri
Aku ngebayangke yen aku suatu saat bakal koyo ngono lan saiki aku ngeroso durung siap nampo takdir sing koyo ngono,"Aku membayangkan jika suatu saat aku akan seperti itu, dan sekarang aku merasa belum siap menerima takdir seperti itu"
Pas aku melok mondok ekskul sing paling tak senenge yo iku takro,"Saat ikut mondok, ekstrakurikuler yang paling aku suka adalah takraw"
Takro soale iku gabungane teko poli ambek bal-balan,Takraw karena itu gabungan dari voli dan sepak bola
Terus sing garai aku seneng maneh iku bale bale iku ora koyok bal umume,Lalu yang membuatku lebih suka lagi adalah bola takraw itu tidak seperti bola pada umumnya
Bal iku koyok anyaman siing teko preng tapi ora koyo preng,Bola itu seperti anyaman yang terbuat dari rotan tapi bukan rotan biasa
