,text,label
32,Pialane kui cilik seko plastik.,"Pialanya kecil, terbuat dari plastik."
33,Wernone kuning keemasan mengkilap.,Warnanya kuning keemasan yang berkilau.
34,Neng duwure ono logo sekolahanku SMP 15.,"Di bagian atasnya ada logo sekolahku, SMP 15."
35,Neng ngisore ono jenengku lan ono tulisan Biji Paling Duwur 100 Bidang Studi Matematika.,Di bawahnya ada namaku dan tulisan Nilai Tertinggi 100 Bidang Studi Matematika.
36,Aku isih iling banget piye rasane pas nyekel piala kui.,Aku masih ingat sekali bagaimana rasanya saat memegang piala itu.
37,Seko bangku aku diceluk munggah panggung.,"Dari bangku, aku dipanggil naik ke panggung."
38,Panggunge kui werno biru ora duwur-duwur banget neng ngisor tendo sing uga werno biru.,"Panggungnya berwarna biru, tidak terlalu tinggi, di bawah tenda yang juga berwarna biru."
39,Pas kui sing ngewehi pialane kui guru matematikaku.,Saat itu yang memberikan pialanya adalah guru matematikaku.
40,Aku nyekel piala kui rodo gemeter.,Aku memegang piala itu agak gemetar.
41,Ono rasa ora percoyo entuk penghargaan koyo ngene.,Ada rasa tidak percaya mendapatkan penghargaan seperti ini.
42,Bar kui wong-wong podo tepuka tangan.,"Setelah itu, orang-orang bertepuk tangan."
43,Aku lagi ngerti oh ngene toh rasane disoraki.,"Aku baru mengerti, oh begini rasanya disoraki."
44,Taman Safari Prigen kuwi salah sijine taman safari ning Indonesia sing nyediakake panggon khusus lan wahana sing alami kanggo satwa ben urip kaya ning habitate,Taman Safari Prigen merupakan salah satu taman safari di Indonesia yang menyediakan tempat khusus dan wahana alam bagi satwa liar untuk hidup di habitat aslinya.
45,Taman Safari Prigen kuwi salah sijine taman safari ning Indonesia sing nyediakake panggon khusus lan wahana sing alami kanggo satwa ben urip kaya ning habitate.,Taman Safari Prigen adalah salah satu taman safari di Indonesia yang menyediakan tempat khusus dan wahana alami untuk satwa agar hidup seperti di habitatnya.
46,Taman Safari Prigen iki uga cocok kanggo keluwarga sing duwe anak cilik kanggo ngenal satwa sak durunge kenalan ning bangku sekolah.,Taman Safari Prigen ini juga cocok untuk keluarga yang memiliki anak kecil agar mengenal satwa sebelum mempelajarinya di bangku sekolah.
47,Taman safari iki uga ngewenahi pengalaman lan interaksi sing luwih cedhak karo para satwa.,Taman safari ini juga memberikan pengalaman dan interaksi yang lebih dekat dengan satwa.
48,Kamangka kuwi Taman Safari Prigen iki wajib ditekani yen lagi liburan.,"Oleh karena itu, Taman Safari Prigen ini wajib dikunjungi saat liburan."
49,Kancakanca uga bisa langsung takon carane pesen tiket lan regane.,Teman-teman juga bisa langsung bertanya tentang cara memesan tiket dan harganya.
50,Ayo padha ning Taman Safari Prigen.,Ayo pergi ke Taman Safari Prigen.
51,Nanging ya ana wong sing digawa nang ngendi wae mesti muntah ning ndhuwur kendaraan lan bakal angek diresiki.,Tetapi ada juga orang yang dibawa ke mana pun pasti muntah di atas kendaraan dan akhirnya harus dibersihkan.
52,Wong sing kaya iki biyasane angel yen dijak menyang ngendi-ngendi sing adoh.,Orang seperti ini biasanya sulit diajak pergi ke tempat jauh.
53,Kamangka biyasane numpak kendaraan umum sing minim goncangan kaya pesawat uga sepur.,Padahal biasanya mereka naik kendaraan umum yang minim guncangan seperti pesawat atau kereta api.
54,Kamangka kuwi kanggo kanca sing sering mabuk darat sering-sering wae numpak kendaraan umum kanggo latihan lan ben ora gampang kepikiran mabuk darat.,"Oleh karena itu, untuk teman yang sering mabuk perjalanan, sering-seringlah naik kendaraan umum untuk latihan agar tidak mudah mabuk perjalanan."
55,Uga ora kesugesti kanggo muntah.,Dan tidak terpengaruh sugesti untuk muntah.
56,Salah siji wisata alam sing sengedan nag Jogja tepak e nag Kulon Progo yaiku wisata alam Kalibiru.,"Salah satu wisata alam yang istimewa di Jogja, tepatnya di Kulon Progo, adalah wisata alam Kalibiru."
57,Wisata iki sak benere parek karo sing jenenge wadok Sermo.,Wisata ini sebenarnya dekat dengan waduk Sermo.
58,Cumak panggonane sing rodok sengedan akhire ora kabeh kendaraan iso mlebu.,Tetapi tempatnya yang agak terpencil membuat tidak semua kendaraan bisa masuk.
59,Dalan sing digawe mlebu mrono yo isek ciut dadi kendaraan sing cilik-cilik tok sing isek iso mlebu.,Jalan yang dibuat ke sana masih sempit sehingga hanya kendaraan kecil yang bisa masuk.
60,Nag wisatae yo apik soale akeh panggonan sing wes disiapno kanggo foto.,Tempat wisatanya juga bagus karena ada banyak tempat yang sudah disiapkan untuk berfoto.
61,Banyune podo ambek jenenge yoiku biru ora ijo.,"Airnya sesuai namanya, yaitu biru, bukan hijau."
62,Terus nag kaline iku lemahe warnae putih.,"Lalu, dasar sungainya berwarna putih."
63,Dadi tambah ketok apik.,Jadi terlihat semakin indah.
64,Terus mili banyune iku ondak-ondakan koyok tingkat-tingkat ngono.,Kemudian airnya mengalir bertingkat-tingkat seperti berundak.
65,Terus ono panggonane digawe ngelangi barang.,Ada juga tempat yang dibuat untuk berenang.
66,Dadi nag kono yo apik lah awit teko fasilitasi sampek opo sing disuguhno di gawe wong sing teko kono.,"Jadi, tempat itu memang bagus, mulai dari fasilitas hingga apa yang disediakan untuk pengunjung."
67,Nanging nek pengin ngono yo mesti siap-siap awak soale dalane meh podo karo dolan nang alas.,"Tetapi kalau ingin ke sana, harus siap fisik karena jalannya hampir seperti masuk ke hutan."
68,Wong-wong sing do dolan neng kana yo mesti duwe niat sakdurunge.,Orang-orang yang pergi ke sana pasti punya niat sebelumnya.
69,"Ora mung munggah nang kaline wae, nanging uga bisa dolan ning panggonan sak upame petilasan kayu sing ana sak ndhuwure.","Tidak hanya menuju sungainya, tetapi juga bisa bermain di tempat lain seperti petilasan kayu yang ada di atasnya."
70,Nek arep ngeneh mesthi yo kudu akeh istirahat ben awakmu ora gampang kesel.,"Kalau mau seperti itu, tentu harus banyak istirahat agar tubuhmu tidak mudah lelah."
71,"Ya semono uga nalika arep mudun, amarga dalane curam banget.","Begitu pula saat turun, karena jalannya sangat curam."
72,Tapi kabeh iku pancen pantes kanggo ngelakoni.,Tetapi semua itu memang layak untuk dilakukan.
73,Kalibiru iki saiki wis akeh sing ngerti lan akeh sing nyoba kanggo dolan kesana.,Kalibiru ini sekarang sudah banyak yang tahu dan mencoba pergi ke sana.
74,Ora ketang mung kanggo foto tok.,Tidak masalah meskipun hanya untuk berfoto saja.
75,Wong-wong sing ora wedi nganggo dalane yo mesthi luwih seneng nyoba fasilitas sing ana.,Orang-orang yang tidak takut dengan jalannya tentu lebih senang mencoba fasilitas yang ada.
76,Sampeyan bisa numpak ojek yen ora pengin njaluk kendaraane mudhun.,Kamu bisa naik ojek jika tidak ingin membawa kendaraan turun.
77,Akeh sing nyaranake ben ora ngeterake kendaraane dhewe sampek ngisor.,Banyak yang menyarankan agar tidak membawa kendaraan sendiri sampai bawah.
78,Kuwi amarga dalane curam lan isih nganggo lemah tanpa aspal sing bisa nggawe kendaraan mundur sak ora-ora.,Itu karena jalannya curam dan masih berupa tanah tanpa aspal yang bisa membuat kendaraan mundur tiba-tiba.
79,Nek pengin dolan neng kana yo disiapake awakmu kanggo nggawe tenaga ekstra.,"Kalau ingin pergi ke sana, siapkan tubuhmu untuk tenaga ekstra."
80,Amarga wisata iki ora cocok kanggo wong sing ora duwe tenaga utawa gampang kesel.,Karena wisata ini tidak cocok untuk orang yang tidak punya banyak tenaga atau mudah lelah.
81,"Nanging kanggo wong-wong sing seneng tantangan, Kalibiru iki salah siji panggonan sing kudu banget dicoba.","Tetapi bagi orang-orang yang suka tantangan, Kalibiru ini adalah salah satu tempat yang wajib dicoba."
82,Wisata iki pancen istimewa.,Wisata ini memang istimewa.
83,"Ora mung amarga pandangan alam sing apik, nanging uga pengalaman sing ora iso dilalekake.","Bukan hanya karena pemandangannya yang indah, tetapi juga pengalaman yang tak terlupakan."
84,Pengalaman sing menehi rasa lega sak rampunge tekan kana lan nikmati kabeh.,Pengalaman yang memberikan rasa lega setelah sampai di sana dan menikmati semuanya.
85,Kalibiru iki tetep dadi salah sijine wisata andalan sing ana ing Jogja.,Kalibiru ini tetap menjadi salah satu wisata unggulan di Jogja.
86,Wingi pas aku melok ngerayakno ulang tahune koncoku,Kemarin saat aku ikut merayakan ulang tahun temanku
87,Bocahe maeng ketok jumbul soale bocahe ora ngerti nag oleh hadiah sing ulang tahun sing koyok ngene teko bocah-bocah,Anak itu tadi terlihat bingung karena dia tidak tahu bahwa ulang tahun seperti ini mendapatkan hadiah dari anak-anak
88,Saking senenge bocahe maeng sampek nangis-nangis polahe senenge megilan tapi yo campur jumbul,"Karena saking senangnya, anak itu sampai menangis-nangis, polahnya senang sekali tapi juga campur bingung"
89,Yo asline apik wae se soale jumbule maeng jurus nang perkoro sing apik soale iso dadekno wong liyo yo seneng ambek jumbule maeng,"Sebenarnya baik saja, karena kebingungannya tadi akhirnya mengarah pada hal yang baik, sebab bisa membuat orang lain ikut senang dengan kebingungannya tadi"
90,Mangkane wong-wong nang ono koncone sing ulang tahun mesti gawe perkoro ben sing ulang tahun maeng jumbul tapi mari ngunu seneng soale oleh hadiah ulang tahun,"Makanya orang-orang di sekitar temannya yang ulang tahun pasti membuat hal-hal agar yang ulang tahun itu bingung, tapi setelah itu senang karena dapat hadiah ulang tahun"
91,Masio hadiae iku ora bejaji tapi sing penting iku iso dadekno roso seneng sing bener-bener teko jero ati,"Meskipun hadiahnya tidak seberapa, tapi yang penting bisa memberikan rasa senang yang benar-benar dari dalam hati"
92,Kegiyatan rutin agama ning kampung yaiku salah sawijine kumpulan maca yasin bareng-bareng utawa yasinan,Kegiatan rutin keagamaan di kampung adalah salah satunya berkumpul membaca yasin bersama-sama atau yasinan
93,Sejatine maca yasin bareng iki bisa dadi sarana kanggo ngeraketake seduluran kaya diba an,Sebenarnya membaca yasin bersama ini bisa menjadi sarana untuk mempererat persaudaraan seperti diba'an
94,Nanging apa sing diwaca bedha lan kadang uga tujuane ya bedha,Namun apa yang dibaca berbeda dan terkadang tujuannya juga berbeda
95,Maca yasin iki identik karo pengajian rampung ana wong seda,Membaca yasin ini identik dengan pengajian setelah ada orang meninggal
96,Kamangka kuwi yen ning kampung ana yasinan gek padha melu amarga manfaate ya akeh banget,"Tetapi di kampung, jika ada yasinan pasti ikut karena manfaatnya banyak sekali"
97,Ono loro reaksi wong yen kerungu koncone keluargane utowo wong cerak liyane kui dadi ateis,"Ada dua reaksi orang jika mendengar temannya, keluarganya, atau orang dekat lainnya menjadi ateis"
98,Ono sing ngedukung lan ono sing kaget ora percoyo,Ada yang mendukung dan ada yang kaget tidak percaya
99,Sing ngedukung kui reaksine biasa wae,Yang mendukung reaksinya biasa saja
100,Dheweke ngerti nek kepercayaan kui ora iso dipeksoke,Mereka tahu bahwa keyakinan itu tidak bisa dipaksakan
101,Nek dheweke wis entuk hidayah dheweke bakal balik meneh neng agama,"Jika mereka sudah mendapatkan hidayah, mereka akan kembali lagi ke agama"
102,Nanging mungkin wae yen dheweke pindah neng agama liyo akhire,Namun mungkin saja jika akhirnya mereka pindah ke agama lain
103,Nanging sing kaget kui reaksine bedo,Namun yang kaget reaksinya berbeda
104,Dheweke ora percoyo wong cerake ono sing ora duwe agama,Mereka tidak percaya ada orang dekatnya yang tidak memiliki agama
105,Biasane won-wong sing koyo ngono kui terikat banget karo agamane,Biasanya orang-orang seperti itu sangat terikat dengan agamanya
106,Dheweke ngeroso yen wonge kui ora duwe agama kui dosone gedhe,Mereka merasa bahwa orang yang tidak memiliki agama itu dosanya besar
107,Dheweke ora gelem wong sing dheweke kenal kui mlebu neroko,Dia tidak ingin orang yang dia kenal masuk neraka
108,Urip dewe ing perantauan ora mesti nggarai wegah,Hidup sendiri di perantauan tidak selalu membuat enggan
109,Senajan sedih ora saben dina kumpul karo kaluwargane nanging isih ana cara supaya ora kesepian,"Meskipun sedih tidak bisa berkumpul dengan keluarganya setiap hari, masih ada cara agar tidak merasa kesepian"
110,Kaping siji aja lali kanggo telpon klauwarga saben dina,"Pertama, jangan lupa untuk menelepon keluarga setiap hari"
111,Yen ora bisa saben dina ya bisa 3 dina pisan supaya ora ngerasa kesepian,"Jika tidak bisa setiap hari, bisa 3 hari sekali agar tidak merasa kesepian"
112,Kaping loro pasang tv ana ing omah supaya nalika mulih saka kerja lan ngerasa sepi bisa langsung ndelok tv,"Kedua, pasang TV di rumah agar ketika pulang kerja dan merasa sepi bisa langsung menonton TV"
113,Kaping telu yen bisa gelek ngejak kanca dolan ana ing omah,"Ketiga, jika bisa, ajak teman bermain di rumah"
114,Mbuh kanggo masak bareng apa gur kanggo ngancani ndelok tv,Entah untuk memasak bersama atau hanya untuk menemani menonton TV
115,Sing terakhir yen ora kepingin kesepian banget bisa golek kegiatan sing akeh supaya tansah repot lan dadine ora kepikiran babagan kesepian ana ing omah dewe adoh saka kaluwarga,"Terakhir, jika tidak ingin terlalu kesepian, bisa mencari banyak kegiatan agar tetap sibuk dan tidak memikirkan kesepian di rumah sendiri yang jauh dari keluarga"
116,Turu ing hotel kanggo pirang-pirang wong wis dadi babagan sing lumrah,Menginap di hotel bagi sebagian orang sudah menjadi hal yang biasa
117,Nanging beda kanggo kaluwargane Pak Bandi,"Namun, berbeda untuk keluarga Pak Bandi"
118,Turu ing hotel dadi pengalaman pertama kanggo Pak Bandi lan anak-anake,Menginap di hotel menjadi pengalaman pertama bagi Pak Bandi dan anak-anaknya
119,Minggu wingi Pak Bandi dijak karo mantune yaiku Mbak Mila kanggo preian ana ing Bandung,"Minggu lalu, Pak Bandi diajak oleh menantunya, yaitu Mbak Mila, untuk berlibur di Bandung"
120,Ora mung dolan Pak Bandi lan anak-anake uga dijak kanggo turu ing hotel sing apik banget,"Tidak hanya jalan-jalan, Pak Bandi dan anak-anaknya juga diajak menginap di hotel yang sangat bagus"
121,Sarapan oleh teka hotel nalika rada awan sithik uga bisa renang ana ing kolam renang hotel turune ana ing kasur sing empuk banget lan kamar sing adhem amarga ana ACne,"Sarapan disediakan di hotel, saat agak siang juga bisa berenang di kolam renang hotel, tidurnya di kasur yang sangat empuk dan kamar yang sejuk karena ada AC-nya"
122,Pak Bandi turu hotel 3 dina 2 wengi lan banjur mulih ana ing omah,Pak Bandi menginap di hotel selama 3 hari 2 malam dan kemudian pulang ke rumah
123,Salah siji tembung sing bisa ngundang murka kanggo wong sing sensitif yaiku salah sijine nigga,"Salah satu kata yang dapat memicu kemarahan bagi orang yang sensitif adalah kata ""nigga"""
124,Tembung iki asale saka basa Inggris sing uga artine negro,Kata ini berasal dari bahasa Inggris yang juga berarti negro
125,Tembung iki duwe makna sing negatif uga bisa marai gelut yen sembarangan diucapake amarga sejarah tembung iki yaiku saka budhaya hiphop AfrikaAmerika,Kata ini memiliki makna yang negatif dan dapat memicu perkelahian jika diucapkan sembarangan karena sejarah kata ini berasal dari budaya hip-hop Afrika-Amerika
126,Tembung nigga iki dadi salah siji bentuk ngelawan marang wong Afrika sing ana ning Amerika lan dianggep duwe derajat sing rendah,"Kata ""nigga"" ini menjadi salah satu bentuk perlawanan terhadap orang Afrika yang ada di Amerika dan dianggap memiliki derajat yang rendah"
127,Kamangka tembung iki dadi tembung si dilarang ning sosial media amarga bisa nyinggung lan bisa marai salah paham,Padahal kata ini menjadi kata yang dilarang di media sosial karena dapat menyinggung dan menyebabkan kesalahpahaman
128,Akeh lagu-lagu sing uga ngilangi tembung iki ben ora dicekal dan dilarang ana ning masyarakat,Banyak lagu yang juga menghilangkan kata ini agar tidak dicekal dan dilarang di masyarakat
129,Udang kuwi jinis kewan laut kang paling umum dipangan dening wong Indonesia saliyane iwak utawa ulam,Udang adalah jenis hewan laut yang paling umum dimakan oleh orang Indonesia selain ikan
130,Tekstur udang kang lembut pancen gawe rasa enak nalika mangan jinising seafood iki,Tekstur udang yang lembut memang membuat rasa enak saat makan jenis seafood ini
131,Akeh jinis masakan kang bahan dhasare saka udang kayata udang asam manis udang saus padang bakso goreng udang bakwan jagung campur udang udang goreng tepung roti lan sapanunggalane,"Banyak jenis masakan yang berbahan dasar udang, seperti udang asam manis, udang saus padang, bakso goreng udang, bakwan jagung campur udang, udang goreng tepung roti, dan sebagainya"
132,Pranyata kajaba gampang diolah dadi maneka warna masakan udang duwe akeh kaluwihan ing antarane,"Ternyata selain mudah diolah menjadi berbagai masakan, udang memiliki banyak kelebihan di antaranya"
133,bisa ningkatake fungsi otak bisa dadi srana ngendhani anemia bisa dadi srana ngendhani gondok lan kemandulan bisa ngewangi pembentukan sel tubuh bisa nyegah penuaan dini uga bisa ngendhani osteoporosis,"bisa meningkatkan fungsi otak, bisa menjadi sarana mencegah anemia, mencegah gondok dan kemandulan, membantu pembentukan sel tubuh, mencegah penuaan dini, serta mencegah osteoporosis"
134,Jebul udang duwe akeh manfaat ya Ca,Ternyata udang memiliki banyak manfaat ya Ca
135,Ayo barangbareng mangan udang nanging samadya wae mengko mundhak kolesterol yen aluamah hahaha,"Ayo bersama-sama makan udang, tapi secukupnya saja nanti kolesterol naik kalau berlebihan hahaha"
136,Awak dewe sebagai umat Islam iku kudu ngeyakini nek keberadaan jin iku onok nyatane soale iku wes dadi Rukun Iman sing kudu dilakoni,Kita sebagai umat Islam harus meyakini bahwa keberadaan jin itu ada karena itu sudah menjadi Rukun Iman yang harus dijalani
137,Tapi kadangan awak dewe iku tau nemoni jin sing rese nang awak dewe dan iku marakno awak dewe wedi dewe,Tapi kadang kita bertemu jin yang usil pada kita dan itu membuat kita jadi takut sendiri
138,Padahal jin iku gak bakal ganggu nek awakmu gak ngusik mereka,Padahal jin tidak akan mengganggu jika kamu tidak mengusik mereka
139,Biasane mereka iku bakal ngeroso keusik nek misal awak dewe gak sengojo melbu nang teritorial e dee,Biasanya mereka akan merasa terganggu jika kita tidak sengaja masuk ke wilayah mereka
140,Tapi kadangan sisan mereka sek bakal tenang asal awak dewe gak aneh-aneh nang teritorial e mereka,Tapi kadang mereka tetap tenang asalkan kita tidak berbuat aneh-aneh di wilayah mereka
141,Dadi gawe awakmu nek lagi nang ndi ae gak usah atek kakean pola nek gak gelem diganggu karo jin,"Jadi untuk kamu, kalau berada di mana pun, tidak usah bertingkah aneh kalau tidak mau diganggu oleh jin"
142,Saiki akeh boca-boca sing senengane dolanan tiktokan,Sekarang banyak anak-anak yang suka bermain TikTok
143,Nah nang tiktokan iku bocah-bocah iso joget-joget sak karepe dewe,"Nah, di TikTok anak-anak bisa menari-nari sesuka hati mereka"
144,Moromoro koncone maeng pas kringi lagune tiktok maeng langsung joget ambek jinjakjinak akire diguru ambek koncoku terus dielokno,"Tiba-tiba, temannya tadi saat mendengar lagu TikTok langsung menari dengan gerakan aneh, akhirnya ditiru oleh temanku lalu ditertawakan"
145,Yo ngunuku nag kakean tiktokan dadi kenek sindrom tiktok,"Ya seperti itu, kalau terlalu banyak TikTok-an jadi terkena sindrom TikTok"
146,Terus iku yo ora apik kanggo kesehatane mental polahe garai ketagehan ambek sing jenenge tiktok maeng,Dan itu juga tidak baik untuk kesehatan mental karena membuat kecanduan dengan yang namanya TikTok
147,La La Land kui film favoritku,La La Land itu film favoritku
148,Aku nonton film kui wis peng loro,Aku sudah menonton film itu dua kali
149,Saking senenge aku ugo wis moco naskah filme tekan peng 3,Saking senangnya aku juga sudah membaca naskah filmnya hingga tiga kali
150,Film kui disutradai karo Damien Chazelle,Film itu disutradarai oleh Damien Chazelle
151,Film iki nyeritake kisah cinta Mia sing kepengen dadi artis lan musisi jazz Sebastian sing kepengen duwe klub jazz dhewe,Film ini menceritakan kisah cinta Mia yang ingin menjadi artis dan musisi jazz Sebastian yang ingin memiliki klub jazz sendiri
152,Ora mung ngomong soal tresno-tresnoan film iki crito wong sing kerja keras kanggo ngewujudke impiane,"Tidak hanya membahas soal cinta, film ini bercerita tentang orang yang bekerja keras untuk mewujudkan mimpinya"
153,Podo koyo judule La La Land iki kisah 2 wong sing berusaha keras neng Las Vegas,"Sesuai dengan judulnya La La Land, ini adalah kisah 2 orang yang bekerja keras di Las Vegas"
154,Las Vegas kui dadi kota pusat hiburan neng Amerika Serikat,Las Vegas adalah kota pusat hiburan di Amerika Serikat
155,Selain seko ceritane lagu-lagu sing enggo neng kene uga apik,"Selain ceritanya, lagu-lagu yang digunakan di sini juga bagus"
156,Lagune kui digawe karo Justin Hurwitz komposer sing wis kerja sama karo Chazelle ning film Whipsplash,"Lagunya dibuat oleh Justin Hurwitz, komposer yang sudah bekerja sama dengan Chazelle di film Whiplash"
157,Ora tega aku delok wong sing sekarat,Aku tidak tega melihat orang yang sekarat
158,Dheweke isih urip isih ono nafase nanging wis ora iso ngopo-ngopo,"Dia masih hidup, masih ada napasnya, tetapi sudah tidak bisa apa-apa"
159,Uripe kui koyo wis ora ono nanging nyawane iso ono neng jero awake,"Hidupnya seperti sudah tidak ada, tetapi jiwanya masih berada di dalam tubuhnya"
160,Sing iso dilakoke kui mung teturon wae,Yang bisa dilakukan hanya tidur saja
161,Ngomong wae durung tentu iso lancar lan uga wis ora iso ngomong banter,Bicara pun belum tentu lancar dan juga sudah tidak bisa bicara keras
162,Mesthi dhewe ngeroso ora kepenak banget mergone uripe dhewe kui tergantung karo wong liyo,Pasti dia merasa sangat tidak nyaman karena hidupnya bergantung pada orang lain
163,Dheweke wis ora iso ngurus kebutuhan dhewe,Dia sudah tidak bisa mengurus kebutuhannya sendiri
164,Yen arep madang kudu didulang,Jika ingin makan harus disuapi
165,Nalika arep siram kudu ngeteni wong sing gelem ngedusi teko,Saat ingin mandi harus menunggu orang yang bersedia memandikan
166,Dheweke mesthi ngeroso ora berguna banget,Dia pasti merasa sangat tidak berguna
167,Sak ben delok wong sing sekart kui aku dadi wedi dhewe,Setiap kali melihat orang sekarat aku jadi takut sendiri
168,Aku ngebayangke yen aku suatu saat bakal koyo ngono lan saiki aku ngeroso durung siap nampo takdir sing koyo ngono,"Aku membayangkan jika suatu saat aku akan seperti itu, dan sekarang aku merasa belum siap menerima takdir seperti itu"
