,label,text
60,selama ini vaya berpikir bahwa jora adalah seorang perebut laki orang,saka begitu vaya pikir manawa jora itu seorang perebut laki orang
61,yang akan merebut suaminya,sing bakal merebut suamine
62,namun dalam hidup ada hal yang harus kita lihat dan lakukan,nanging ing urip saya perkara sing harus kita deleng lan lakoni
63,berkali-kali sehingga sadar bahwa jawabannya tidak sesuai,berkali-kali supaya sadar manawa jawabane tidak cocog
64,dengan yang kita pikirkan,sama sing kita pikirake
65,vaya tidak menceritakan hal tersebut ke suaminya,vaya tidak nyritakake perkara itu marang suamine
66,karena menurutnya itu tidak penting,amarga miturute itu tidak penting
67,beberapa hari kemudian vaya bersama suami dan anak pergi ke pernikahan jora,sawise sawetara dina vaya bareng suami lan anak lunga menyang pernikahan jora
68,di sana vaya dapat melihat jora berbahagia menikmati acaranya tersebut,ing kana vaya bisa ndeleng jora bahagia nikmati acarane kuwi
69,sudah kubilangkan dia baik,sudah tak kandhakake dheweke itu apik
70,vaya yang mendengar itu tertawa akan kesalahpahaman yang ia ciptakan sendiri,vaya sing dengar itu ngguyu amarga kesalahpahaman sing dheweke kerja dhewe
71,di pikirannya selama ini,ing pikirane sajrone iki
72,iya-iya maaf aku salah,iya-iya maaf aku salah
73,tidak kamu tidak salah justru kamu melakukan hal yang baik,ora kamu tidak salah justru kamu nindakake perkara sing apik
74,vaya tidak mengerti lalu menatap suaminya yang menggendong anak mereka,vaya tidak mengerti banjur ndeleng suamine sing nggendong anake
75,sembari tersenyum membuat vaya tersenyum karena bersyukur,sambil mesem nggawe vaya mesem amarga syukur
76,tuhan telah mempertemukannya dengan seorang yang sebaik ini,gusti allah sudah nepungake dheweke sama seorang sing asyik iki
77,kali ini dunia tidak bercanda lagi dengan vaya,sekarang donya tidak guyon kamu sama vaya
78,justru dunia juga berturut senang untuk vaya,justru donya juga terus senang untuk vaya
79,trula saat ini sedang membaca sebuah novel,trula sekarang lagi maca sawijining novel
80,di saat membaca novel trula mendapatkan sebuah kalimat,nalika maca novel trula menemukan sawijining kalimat
81,yang membuat dirinya menjadi takjub,sing nggawe dheweke dadi takjub
82,setelah beberapa saat trula selesai membaca novel tersebut,sawise sawetara wektu trula rampung maca novel itu
83,lalu berjalan keluar tidak lama kemudian terdengar suara ibunya yang memanggilnya,banjur mlaku metu tidak suwe dengar swara ibune sing menyebut dheweke
84,dengan segera trula pergi tiba di dapur,kanthi cepat trula lunga tekan dapur
85,kemudian ibunya menyuruhnya untuk membelikan sesuatu di warung,banjur ibune menyuruh dheweke untuk tuku soko ing warung
86,dengan perasaan senang karena bisa jajan,kanthi rasa senang amarga bisa jajan
87,trula pergi ke warung,trula lunga menyang warung
88,halo kamu mau jajan,halo kamu mau jajan
89,iya,iya
90,saat ini trula sedang bertemu dengan teman sebangkunya,sekarang trula lagi ketemu sama kanca sebangkune
91,yang memiliki nama lidia,sing nduwe jeneng lidia
92,setelah keduanya selesai belanja,sawise loro-lorone rampung blanja
93,kedua memutuskan untuk pulang bersama,loro-lorone mutusake untuk mulih bareng
94,selama perjalanan pulang mereka terus mengobrol hingga,sajrone perjalanan mulih dheweke terus mengobrol nganti
95,trula kamu enak banget yah anaknya bebas,trula kamu enak banget ya anake bebas
96,ha maksudnya bagaimana ni bukannya juga semua orang boleh bebas,ha maksudmu piye dudu semua orang tidak oleh bebas
97,tapi nyatanya itu tidak berlaku buat aku,nanging nyatanya itu tidak berlaku untuk aku
98,maksud kamu bagaimana lidia,maksudmu piye lidia
99,pertanyaan itu tidak dijawab karena sekarang mereka berdua tiba di depan rumah lidia,pitakonan itu tidak dijawab amarga sekarang loro-lorone tekan mengharap omahe lidia
100,lidia berpamitan dengan trula,lidia pamitan sama trula
101,lalu memasuki rumahnya,banjur mlebu ing omahe
102,membuat trula penasaran,nggawe trula penasaran
103,trula berharap lidia tidak kenapa-napa,trula mengharap lidia tidak kenapa-kenapa
104,keesokannya trula menunggu lidia datang sembari duduk di bangku mereka berdua,esoke trula ngenteni lidia teka sambil lungguh ing bangku loro-lorone
105,dari arah kejauhan kini trula dapat melihat lidia berjalan kearahnya,saka arah adoh sekarang trula bisa ndeleng lidia mlaku menyang dheweke
106,lalu duduk disebelahnya,banjur lungguh ing sisihe
107,halo trula,halo trula
108,halo juga lidia tumben kamu datangnya pagi-pagi,halo juga lidia tumben kamu teka pagi-pagi
109,iya biar tidak telat jawab lidia sembari tertawa,iya biar tidak telat wangsul lidia sambil ngguyu
110,kelas pun dimulai setelah terdengar bel sekolah,kelas juga diwiwiti sawise dengar bel sekolah
111,saat bel sekolah terakhir yang menandakan pulang,nalika bel sekolah pungkasan sing nandhakake mulih
112,selesai ekskul trula sedikit terkejut karena mendapati lidia,sawise ekskul trula sedikit kaget amarga menemukan lidia
113,yang masih terduduk sembari mengerjakan sesuatu di kelas,sing masih lungguh sambil nggarap sesuatu ing kelas
114,kamu belum mau pulang,kamu tidak mau mulih
115,belum la ini pekerjaan rumah harus aku kerjain,belum la ini pekerjaan rumah harus aku kerjain
116,trula menatap ke pekerjaan rumah yang sedang dikejakan lidia,trula ndeleng pekerjaan rumah sing sedang dikejakan lidia
117,tapi ini bukan pekerjaan rumah sekolah,tapi ini tidak pekerjaan rumah sekolah
118,memang bukan ini pekerjaan rumah les,memang bukan ini pekerjaan rumah les
119,sepengetahuanku tempat les itu tidak ada sistem pekerjaan rumah,sepengetahuanku panggonan les itu tidak saya sistem pekerjaan rumah
120,memang tidak ada ini dari tempat les yang lain,memang tidak saya ini saka panggonan les liyan
121,kamu menambah jadwal les lagi,kamu menambah jadwal les maneh
122,iya trula merasa terkejut mengetahui bahwa teman sebangkunya kini harus les lagi,iya trula krasa kaget mengerti manawa kanca sebangkune sekarang harus les maneh
123,saat awal bertemu dengan lidia trula dapat melihat sebuah kebebasan hidup,nalika awal ketemu sama lidia trula bisa ndeleng sawijining kabebasan urip
124,yang dimiliki lidia,sing diduweni lidia
125,lidia dulu sering ikut bermain dengan anak-anak,lidia biyen asring ikut dolanan sama bocah-bocah
126,dan juga memiliki jiwa petualangan yang tinggi,lan juga nduwe jiwa petualangan sing dhuwur
127,namun kini saat sudah sama trula tidak dapat melihat itu lagi dari lidia,nanging sekarang nalika sudah sma trula tidak bisa ndeleng itu maneh saka lidia
128,kini lidia terlihat seperti orang yang sedang terkurung,sekarang lidia katon kayak orang sing lagi terkurung
129,dan melakukan hal sama seolah jiwa petualangan menjadi hilang,lan nindakake perkara sing padha seolah jiwa petualangan sudah ilang
130,trula berinisiatif untuk membantu namun lidia tidak ingin dibantu,trula berinisiatif untuk mbantu nanging lidia tidak ingin dibantu
131,akhirnya trula berpamitan untuk segera pulang,akhire trula pamitan untuk cepat mulih
132,sebelum hari semakin petang agar masih bisa mendapatkan bus,sadurunge sore tambah petang supaya masih bisa njupuk bis
133,yang berjalan menuju rumahnya,sing mlaku menyang omahe
134,tiba di rumahnya trula sedang berpikir dia akan melanjutkan kuliah dimana,tekan omahe trula lagi pikir dheweke mau nerusake kuliah ing endi
135,sama,sama
136,iya nak,iya nak
137,menurut mama jurusan kuliah yang bagus itu apa,miturut mama jurusan kuliah sing apik itu apa
138,semua jurusan kuliah bagus nak,semua jurusan kuliah apik nak
139,jurusan yang bagus buat trula menurut mama apa,jurusan sing apik untuk trula miturut mama apa
140,mama tidak tahu nak itu kan pilihanmu,mama tidak mengerti nak itu kan pilihanmu
141,tapi trula tidak tahu,nanging trula tidak mengerti
142,coba sekarang mama yang tanya trula hidup untuk apa,coba sekarang mama sing takon trula urip untuk apa
143,trula hanya terdiam,trula mung terdiam
144,itu kan masih bingung,itu kan masih bingung
145,tapi bukannya tujuan selalu berubah ya ma,nanging bukankah tujuan ikut tansah owah ya ma
146,benar nak baik sekarang pertanyaan lain,benar nak apik sekarang pitakonan liya
147,mamanya trula terdiam sebentar,mamane trula terdiam sakdurunge
148,jika ada satu hal yang trula inginkan apa itu,yen saya siji perkara sing trula karepake apa kuwi
149,kebebasan jawabnya langsung,kabebasan wangsule langsung
150,seminggu kemudian trula menjadi yakin dengan pilihannya setelah menyerahkan formulir,satu minggu sabanjure trula dadi yakin sama pilihane sawise nyerahake formulir
151,masa sama sebentar lagi akan berakhir trula merasa mantap sekali dengan pilihannya,masa sama tidak suwe kamu bakal rampung trula krasa mantap banget sama pilihane
152,namun beberapa minggu ini trula tidak bertemu dengan lidia,nanging sawetara minggu ini trula tidak ketemu sama lidia
153,bahkan di hari kelulusan pun lidia juga tidak ada saat menghampiri rumahnya,malah ing dina kelulusan juga lidia tidak saya nalika ngunjungi omahe
154,juga sekarang sudah kosong,juga sekarang sudah kosong
155,sebenarnya lidia kemana,sebenarnya lidia menyang endi
156,beberapa tahun berlalu trula sedang duduk di kantornya untuk mengerjain sebuah proyek,sawijining tahun sudah liwati trula lagi lungguh ing kantorne untuk nggarap sawijining proyek
157,lalu ada seniornya yang menghampiri trula untuk ikut membantunya,banjur saya seniore sing ngunjungi trula untuk ikut membantu dheweke
158,trula mengiyakan,trula ngiyakake
159,trula dan senior tiba di sebuah rumah yang terletak di lingkungan,trula lan senior tekan sawijining omah sing saya ing lingkungan
160,yang dapat dibilang buruk dari segi sosial,sing bisa dibilang ala saka segi sosial
161,trula bertanya kenapa mereka kesini,trula takon kenapa dheweke kesini
162,namun senior hanya menjawabnya dengan menyuruhnya untuk melihat sendiri,nanging senior mung mangsuli kanthi nyuruhe untuk ndeleng dhewe
163,apa yang terjadi,apa sing kedadeyan
164,pintu terbuka oleh seseorang yang membuat trula terkejut,pintu kebuka dening seseorang sing nggawe trula kaget
165,lidia adalah orang yang membukakan pintu,lidia itu orang sing mbukakake pintu
166,trula dapat melihat lidia sedang mengendong seorang bayi,trula bisa ndeleng lidia lagi nggendong sawijining bayi
167,sedangkan pada kakinya lidia seorang balita sedang berdiri sembari memeluk kakinya,nalika ing sikile lidia saya sawijining balita lagi ngadeg sambil ngeluk sikile
168,lalu dari arah dalam trula dapat melihat keadaan rumahnya yang berantakan,banjur saka arah njero trula bisa ndeleng keadaan omahe sing berantakan
169,senior pun mulai berbicara dengan lidia,senior juga miwiti berbicara sama lidia
170,dan lidia menceritakan semuanya,lan lidia nyritakake kabeh
171,trula ikut mendengarnya,trula ikut ngrungokake
172,menjadi tidak percaya semua hal ini dialami oleh lidia,dadi tidak percaya semua perkara ini dialami dening lidia
173,trula kini tahu alasan lidia menghilang saat sebelum hari kelulusan itu,trula sekarang mengerti alasan lidia hilang sadurunge dina kelulusan itu
174,karena dia disuruh oleh ibunya sendiri untuk menikah dengan seseorang,amarga dheweke disuruh dening ibune untuk nikah sama seseorang
175,beberapa tahun kemudian anak pertama lidia lahir,sawetara tahun sabanjure anak kaping pisane lidia lair
176,lidia bercerita bahwa lidia berpikir kehidupan pernikahan akan menyenangkan,lidia nyritakake manawa lidia pikir urip pernikahan bakal nyenengake
177,karena tidak perlu lagi memikirkan belajar seperti mahasiswa,amarga tidak perlu pikir sinau kayak mahasiswa maneh
178,namun setelah kelahiran anak pertamanya lidia selalu mendapatkan perlakuan,nanging sawise kelahiran anak kaping pisane lidia tansah oleh perlakuan
179,yang buruk dari suaminya,sing ala saka suamine
180,pernah saat suaminya mengetahui lidia hamil anak kedua,pernah nalika suamine mengerti lidia hamil anak kaping loro
181,suaminya menyuruhnya untuk menggugurkan kandungannya namun lidia tidak mau,suamine nyuruhe untuk ngugurkan kandungane nanging lidia tidak ingin
182,dan terus bertahan,lan terus bertahan
183,beberapa tahun tersiksa lidia juga tau bahwa suaminya memiliki seorang selingkuhan,sawetara tahun tersiksa lidia juga mengerti manawa suamine nduwe seseorang selingkuhan
184,lidia tidak merasa marah dan kecewa namun merasa lega,lidia tidak krasa marah lan kecewa nanging krasa lega
185,karena setelah itu suaminya benar-benar pergi dari rumah,amarga sawise itu suamine bener-bener lunga saka omah
186,namun tentu saja seorang ibu tunggal mengurus dua anak tanpa pekerjaan,nanging tentu saja seorang ibu tunggal mengurus loro anak tanpa pagawean
187,membuat dirinya sangat kewalahan karena itulah dia meminta bantuan ke tempat,nggawe dheweke sangat kewalahan amarga itu dheweke ngajuk bantuan menyang
188,trula bekerja,trula pagawean
189,setelah mendengarkan cerita itu senior pamit untuk keluar memberi kabar,sawise ngrungokake cerita kuwi senior pamit untuk keluar ngabari
190,yang akan dikirimkan pada kantor sedangkan trula masih berada di dalam rumah itu,sing bakal dikirim menyang kantor dene trula masih saya ing jero omah kuwi
191,maaf sembari mengucapkan kata itu mulut trula gemetar dan tidak bisa menahan air mata,maaf sambi ngucapake kata kuwi mulut trula gemetar lan tidak bisa menahan banyu mata
192,trula juga dapat melihat lidia tersenyum sedangkan di belakang lidia anaknya,trula juga bisa ndeleng lidia tersenyum dene ing wingking lidia anake
193,sedang bermain membuat barang-barang semakin berantakan,lagi dolanan nggawe barang-barang semakin berantakan
194,melihat senyuman lidia trula justru merasa sangat sedih kenapa dia tidak bisa,ndeleng senyuman lidia trula justru krasa sangat sedih kenapa dheweke tidak bisa
195,melidungi temannya dari nasib yang mengerikan ini,melidungi kancaane saka nasib sing mengerikan iki
196,trula jangan menangis ya katanya dengan suara lemah,trula jangan menangis ya katanya sama swara lemah
197,trula harus kuat ya supaya lidia bisa bebas,trula harus kuat ya supaya lidia bisa bebas
198,mendengar itu trula teringat saat trula ingin hidup demi kebebasan,ngrungokake kuwi trula kelingan nalika trula ingin urip demi kabebasan
199,dan memberikan kebebasan untuk orang lain,lan menehi kabebasan untuk orang liya
200,mungkin inilah alasan kenapa trula bisa sejauh ini,mungkin inilah alasan kenapa trula bisa sejauh iki
201,beberapa bulan kemudian setelah akhir masalah yang dialami oleh lidia,sawetara wulan sabanjure sawise akhir masalah sing dialami dening lidia
202,kini lidia bisa bebas,sekarang lidia bisa bebas
203,trula sangat senang untuknya,trula sangat senang untuk dheweke
204,sepanjang kasus yang diselesaikan oleh trula,sepanjang kasus sing diselesaikake dening trula
205,kasus lidia temannya termasuk salah satu kasus yang memiliki akhir yang bahagia,kasus lidia kancane kalebu salah siji kasus sing nduwe akhir sing bahagia
206,bertahun-tahun kemudian trula menemui lidia,bertahun-tahun sabanjure trula nemoni lidia
207,saat itu lidia sedang sibuk mengurus tokonya yang ramai,nalika itu lidia lagi sibuk mengurus tokone sing rame
208,trula yang melihat itu juga senang lalu trula pun ikut membantu lidia,trula sing ndeleng itu juga senang banjur trula ikut membantu lidia
209,penutupan cerita inilah kisah seorang teman yang membantu temannya,penutupan cerita ini yaiku kisah seorang kanca sing membantu kancane
210,untuk sebuah kebebasan perasaan paling membahagiakan yang dapat dialami,untuk sawijining kabebasan perasaan paling membahagiakan sing bisa dialami
211,seorang manusia,dening sawijining manungsa
212,kebebasan adalah perasaan paling membahagiakan yang dialami oleh seseorang,kebebasan yaiku perasaan paling membahagiakan sing dialami dening seseorang
213,tidak ada orang yang ingin terkurung dalam kurungan,tidak saya orang sing ingin terkurung ing kurungan
214,lalu terdiam dan tidak bisa melakukan apapun,banjur terdiam lan tidak bisa nindakake apa-apa
215,semua orang berhak untuk kebebasan mereka sendiri,semua orang nduwe hak untuk kabebasane dhewe
216,untuk semua orang yang sedang berusaha untuk bebas,untuk semua orang sing lagi berusaha untuk bebas
217,aku berharap kalian bisa bebas untuk selamanya,aku mengharap kalian bisa bebas untuk selawase
218,disya namanya nama seorang wanita yang kini sedang duduk,disya jenenge jeneng sawijining wanita sing sekarang lagi lungguh
219,menatapi pemandangan kota malam pada malam hari di rumahnya,nyawang pemandangan kutha malam ing wayah malam ing omahe
220,disya yang merasa terbiasa hidup sendirian,disya sing krasa sudah biasa urip piyambakan
221,memilih untuk hidup sendirian di rumah kecil milik kedua orang tuanya,memilih untuk urip piyambakan ing omah cilik duwe loro orang tuwane
222,yang sudah meninggal saat usia disya masih muda,sing sudah seda nalika umur disya masih enom
223,mengingat kejadian mengerikan itu selalu membuat kepala disya merasa pusing,ngelingi kedadeyan nggegirisi itu tansah nggawe kepala disya krasa pusing
224,yang terasa seperti seolahnya kepalanya dipukuli benda yang tajam,sing krasa kayak seolah-olah kepalane dipukul barang sing tajam
225,disya kembali menatap laptopnya untuk mengerjakan projek miliknya,disya bali nyawang laptope untuk nggarap proyeke
226,namun sudah berjam-jam berlalu dari sore hingga sekarang,nanging sudah jam-jaman liwati saka sore ganti sekarang
227,dirinya tidak menemukan ide yang membuatnya penat,dheweke tidak menemukan ide sing nggawe dheweke penat
228,lalu tertidur di depan laptopnya,banjur turu ing ngarepe laptope
229,keesokannya disya yang sedang melakukan rutinitas paginya,keesokane disya sing lagi nindakake rutinitas pagine
230,mendapatkan telepon dari editornya yang berharap beberapa bulan lagi,entuk telepon saka editorne sing mengharap sawetara wulan kamu
231,dirinya akan mendapatkan projek disya yang sudah selesai,dheweke bakal entuk proyek disya sing sudah rampung
232,mengetahui disya mengungkapkan bahwa saat ini,ngrungokake disya ngungkapake manawa sekarang
233,dirinya sedang kehilangan ide,dheweke lagi kehilangan ide
234,atas saran editornya itu kini disya telah tiba,adhedhasar saran editorne kuwi sekarang disya sudah tekan
235,di kampung halamannya desa kecil tempat dimana,ing kampung halamane desa cilik panggone
236,dirinya pernah berada disini disya kembali mengingat sesuatu,dheweke tau saya kene disya bali ngelingi soko
237,hanya saja sejak kecelakaan itu dirinya menjadi lupa,mung saka wektu kacilakan kuwi dheweke dadi lali
238,dan juga membuat kepalanya menjadi pusing setiap dirinya,lan juga nggawe kepalane dadi pusing saben dheweke
239,berusaha mengingat sesuatu yang ada di masa lalu,mencoba ngelingi soko sing saya ing masa kepungkur
240,merasa pusing disya duduk di bangku yang dekat dengan pohon,krasa pusing disya lungguh ing bangku sing cedhak sama wit
241,untuk menenangkan diri,untuk menengake dheweke
242,disya selalu merasa kesal jika rasa pusing menghampirinya,disya tansah krasa nesu yen rasa pusing nyedhaki
243,setelah menenangkan diri disya menatap ke sekitar,sawise menengake dheweke disya nyawang sak sekitar
244,terlihat bahwa orang-orang sedang menikmati aktivitas mereka,katon manawa wong-wong lagi nikmati aktivitase
245,terlihat wajah mereka yang tersenyum anak kecil,katon rai-wrahi sing nyengir anak cilik
246,yang bermain dengan penuh tawa,sing dolanan kanthi penuh tawa
247,saat sebuah bola mengelinding dan berhenti di kaki disya,nalika sawijining bola nggelinding lan mandheg ing sikile disya
248,seorang anak kecil datang sendiri dengan sopan menyapanya,sawijining anak cilik teka dhewe kanthi sopan menyapa dheweke
249,sekalian untuk mengambil bolanya,sakali untuk mengambil bolane
250,disya mempersilahkannya anak itu mengambil bolanya lalu mengajak disya,disya ngidini anak itu mengambil bolane banjur mengajak disya
251,untuk bermain namun disya hanya menggelengkan kepala,untuk dolanan nanging disya mung nggelengke kepala
252,karena dirinya tidak ingin diganggu anak kecil itu paham,amarga dheweke tidak ingin diganggu anak cilik itu paham
253,lalu berterima kasih kemudian pergi,banjur ngucap syukur terus pergi
254,disya senang karena di sini anak-anak sopan tidak seperti lingkungan dirinya,disya senang amarga kene anak-anak sopan tidak kayak lingkungan dheweke
255,tinggal dimana anak kecil selalu menganggunya membuat disya benci,tinggal ing ngendi anak cilik tansah ngganggu dheweke nggawe disya benci
256,dengan anak kecil namun bertemu dengan anak kecil tadi membuat disya senang,sama anak cilik nanging ketemu sama anak cilik itu nggawe disya seneng
257,setelah beberapa saat kini disya tiba di tempatnya untuk menginap,sawise sawetara wektu sekarang disya sudah tekan ing panggone untuk nginep
258,sore harinya disya berjalan-jalan disekitar desa,sore harine disya jalan-jalan ing sakitere desa
259,menurut disya desa ini unik memiliki bangunan yang unik,miturut disya desa ini unik nduwe bangunan sing unik
260,lalu orang-orang di sini sangat ramah karena selalu saling sapa menyapa,banjur wong-wong sini sangat ramah amarga tansah saling sapa
261,antar sesama terlihat juga anak kecil yang sedang bermain,antar sesama katon juga anak cilik sing lagi dolanan
262,beberapa ada yang bermain bola ada yang bermain layang-layangan,sawetara saya sing dolanan bal saya sing dolanan layang-layang
263,jajanan di desa ini juga murah enak dan memiliki bentuk yang unik,jajanan ing desa ini juga murah enak lan nduwe bentuk sing unik
264,disya bersyukur sekali seumur hidup dirinya mencoba makanan di sini,disya matur nuwun banget seumur hidup dheweke mencoba panganan sini
265,dan mengunjungi desa ini tidak lupa disya memfoto hari ini,lan ngunjungi desa iki tidak lali disya memotret dina ini
266,langit juga mendukung hari ini karena warna jingganya,langit juga ndhukung dina ini amarga warna jinggange
267,yang bergradasi dengan warna biru langit membuat mata yang memandang,sing bergradasi sama warna biru langit nggawe mata sing ndeleng
268,pemandangan ini akan merasa takjub,pemandangan ini bakal krasa takjub
269,tiba di kamarnya disya menaruh semua barangnya,teka ing kamare disya menyimpan semua barange
270,lalu kemudian dirinya terdiam saat melihat jendela,banjur-banjur dheweke terdiam nalika ndeleng jendela
271,dimana ada sebuah pemandangan pantai yang tidak jauh dari tempat penginapan,ing ngendi saya sawijining pemandangan pantai sing tidak adoh saka panggonan nginep
272,disya segera turun dan bertanya kepada pemilik penginapan,disya langsung mudhun lan takon marang pemilik penginapan
273,tentang pantai itu,babagan pantai kuwi
274,tiba di pantai disya berjalan-jalan di atas pasir putih yang cantik,teka ing pantai disya mlaku-mlaku ing ndhuwur pasir putih sing ayu
275,hembusan angin yang menenangkan membuat disya merasa nyaman,hembusan angin sing menenangkan nggawe disya krasa nyaman
276,lalu suara ombak dan suara orang-orang menyatu,banjur swara ombak lan swara wong-wong nyatu
277,membuat disya kembali mengingat sesuatu namun lagi-lagi,nggawe disya bali ngelingi soko nanging kamu
278,kepalanya kembali pusing yang hampir membuat dirinya terjatuh,kepalane bali pusing sing meh nggawe dheweke terjatuh
279,beruntung ada yang membantunya,untung saya sing membantu dheweke
280,disya berterima kasih kepada orang itu lalu berjalan pergi,disya ngucapake matur nuwun marang orang kuwi banjur mlaku lunga
281,beberapa langkah setelah menjauh disya melihat semuanya menjadi gelap,sawetara langkah sawise adoh disya ndeleng semua dadi peteng
