Indonesia,Javanese
untuk melakukan konsultasi penyusunan laporan tersebut sekolah harus mengeluarkan biaya  paling tidak untuk transportasi,kanggo nganakake konsultasi kanggo nyiapake laporan iki sekolah kudu mbayar paling ora kanggo transportasi
salah satu salafiyah di banten  misalnya  memerlukan biaya transportasi antara rprp setiap melakukan konsultasi,salah siji salafiyah ing banten contone mbutuhake biaya transportasi antarane rp  lan rp  saben konsultasi
di samping itu  sekolah juga mengeluhkan banyaknya waktu yang diperlukan untuk menyusun laporan tersebut,kajaba iku sekolah uga ngeluh babagan jumlah wektu sing dibutuhake kanggo nyiapake laporan kasebut
mereka perlu menyediakan waktu untuk bolakbalik antara  kali ke kantor dinas pendidikan untuk memperbaiki laporan,dheweke kudu ngenteni wektu maneh antara  kaping menyang kantor pendidikan kanggo nambah laporan
untuk itu  mereka seringkali kehilangan waktu istirahat karena harus kerja lembur atau terpaksa menggunakan waktu mengajar,mulane dheweke kerep ilang wektu kanggo istirahat amarga kudu bisa luwih cepet utawa bisa nggunakake waktu ngajar
namun ada sekolah yang laporannya hanya dibuat oleh kepala sekolah tanpa melibatkan bendahara,nanging ana sekolah sing laporan mung digawe dening principal tanpa nglibatake bendahara
bila ada guru yang dilibatkan  biasanya hanya guru yang bertugas menjadi bendahara bos  sedangkan guru lainnya tidak dilibatkan,yen ana guru sing terlibat biasane mung guru sing tanggung jawab bendahara bos dene guru liyane ora terlibat
komite sekolah yang seharusnya menjadi mitra sekolah pun umumnya tidak dilibatkan dalam pembuatan laporan  ,komite sekolah sing mesthine minangka mitra sekolah umum ora melu nggawe laporan
hanya ada beberapa komite sekolah yang dapat mengakses laporan tersebut  namun jumlahnya sangat terbatas,mung sawetara komite sekolah bisa ngakses laporan kasebut nanging nomer kasebut winates banget
mereka biasanya komite sekolah yang memang aktif berkunjung ke sekolah,padha biasane sekolah komite sing aktif ngunjungi sekolah
kepada orangtua siswa  umumnya pihak sekolah hanya menyampaikan informasi mengenai adanya program bos,kanggo wong tuwa siswa sekolah mung menehi informasi babagan anan  program bos
masih jarang ditemui adanya sekolah yang melaporkan penggunaan dananya secara rinci kepada orangtua siswa,ana uga jarang sekolah sing nglaporake panggunaan dana kanthi rinci kanggo wong tuwa siswa
tim smeru hanya menemukan dua sekolah sampel yang menyampaikan laporan secara terbuka kepada orangtua siswa,tim smeru mung nemokake sekolah sampel sing nyatakake laporan kanthi terangterangan marang para siswa
orangtua siswa terkesan  tidak peduli  dengan urusan administrasi penggunaan dana,para siswa sing pinter ora seneng karo masalah administrasi dana
mereka cenderung percaya bahwa sekolah menggunakan dananya dengan benar,dheweke seneng percaya yen sekolah nggunakake dana sing bener
monev internal dilakukan oleh jajaran pelaksana program sendiri,pemantauan lan evaluasi internal ditindakake dening jajaran program dhewe
monev internal ini bertugas melakukan pemantauan dan supervisi  pembinaan  dan penyelesaian masalah,monev internal iki ditugasake kanggo ngawasi lan ngawasi panuntun dhumateng lan pemecahan masalah
monitoring eksternal  dalam juklak program   dianggap sebagai bagian dari pengawasan,pengawasan njaba ing pedoman operasional taun  dianggep minangka bagean pengawasan
perguruan tinggi  dpr  bin atau tim independen khusus yang ditunjuk pemerintah ,guron inggil dpr bin utawi tim independen khusus ingkang dipuntunjuk pamerentah 
dewan pendidikan  lsm  bmps  maupun organisasi masyarakatkependidikan lainnya ,dewan pamucalan lsm bmps kersaa organisasimasyarakatkependidikan bentenipun 
bpk  bpkp  inspektorat jenderal irjen  dan badan pengawasan daerah bawasda provinsi dan kabupatenkota ,bpk bpkp inspektorat jenderal irjen uga badan pengawasan daerah 
unitunit pengaduan masyarakat yang terdapat di sekolahmadrasah  kabupatenkota  provinsi dan pusat,unitunit panggigatan masyarakat ingkang enten ing sekolahmadrasah kabupatenkitha provinsi uga puser 
monev internal masih kurang memadai  sedangkan monev eksternal dinilai oleh banyak pihak masih kurang efektif,monev internal taksih kirang ngenteni sawegaken moneveksternal dipunaos dening kathah pihak taksih kirang efektif 
kualitas pelaksanaan monev internal masih dipertanyakan dan lebih terkesan dilaksanakan sebagai formalitas,kwalitas pamontenan monev internal taksih dipuntakenakenaken uga langkung terkesan dipunwontenaken dados formalitas 
belum semua daerah melaksanakan kegiatan monev internal secara khusus,dereng sedaya daerah nglampahi kengungkukan monev internalsacara khusus 
di kabupaten lebak  kuesioner disebarkan ke sekolahsekolah sampel melalui uptd pendidikan dan jajaran kandepag di kecamatan,ing kabupaten lebak kuesioner dipundhawahaken datheng sekolahsekolah sampel langkung uptd pamucalan uga jajarankandepag ing kecamatan 
di kabupaten tapanuli utara  kuesioner disebarkan ke semua sekolah melalui uptd pendidikan,ing kabupaten tapanuli ler kuesioner dipundhawahaken datheng sedaya sekolah langkung uptd pamucalan 
di kota pasuruan kegiatan monev agak lebih mendalam,ing kitha pasuruan kengungkukan monev semu langkung nglebet
monitoring dilakukan melalui uptd dan melibatkan pengawas,monitoring dipuntumindakake langkung uptd uga melibatkanpengawas 
meskipun di beberapa daerah kerja sama kegiatan monev antara staf dinas pendidikan dan kandepag berjalan baik,senaosa ing beberapa daerah nyambut damel sami kengungkukan monev antawis staf dinas pamucalan uga kandepag mlampah sae
hal ini melahirkan kecemburuan dan rumor tentang ketidaktransparanan jajaran kandepag dalam pengelolaan dana monev,hal niki babaran kecemburuan uga rumor babagan ketidaktransparanan jajaran kandepag lebet pengelolaan danamonev
karena berbagai faktor tersebut  secara umum kegiatan monev internal dianggap kurang memadai,amargi macemmacem faktor kesebat sacara umumkengungkukan monev internal dipunanggep kirang ngenteni
cukup banyak lembaga yang secara langsung mendatangi sekolahsekolah tanpa sepengetahuan satker  tidak jelas laporannya,cekap kathah lembaga ingkang sacara lajeng ndhatengi sekolahsekolah tanpa sepengetahuan satker mboten pertela laporannya
hasil pengawasannya juga tidak diberitahukan atau dilaporkan ke satker di tingkat manapun juga,pikantuk pengawasannya ugi mboten dipuntedahaken utawi dilaporkan datheng satker ing tingkat pundia ugi
secara langsung bpkp melakukan audit dengan difasilitasi oleh satker provinsi  satker kabupatenkota,ecara lajeng bpkp numindakake audit kaliyan difasilitasi dening satker provinsi satker kabupatenkitha
namun berbagai fakta yang ditemukan di lapangan memperlihatkan kurang efisiennya sistem monitoring eksternal yang sudah berjalan,nanging macemmacem fakta ingkang dipunpanggihaken ing lapangan ningalaken kirang efisiennya sistem monitoringeksternal ingkang sampun mlampah
hanya di mapenda kanwil depag provinsi jawa timur ada dokumen laporan pengaduan,namung ing mapenda kanwil depag provinsi jawi wetan enten dokumen laporan panggigatan
isu ini umumnya bersumber dari masyarakat dan guru,isu niki umumnya bersumber saking masyarakat uga guru
secara umum  proses penyampaian dan penanganan pengaduan dapat dibedakan menjadi tiga kelompok  yaitu,sacara umum proses penyampaian uga pananganan panggigatan saged dipunpupuran dados telu kelompok yaiku
i pengaduan melalui satker  ii pengaduan melalui sekolah  dan iii pengaduan melalui monev eksternal,i panggigatan langkung satker ii panggigatan langkung sekolah uga iii panggigatan langkung monev eksternal
siapakah yang berwenang untuk melakukan investigasi bila pengaduan tersebut terkait dengan kinerja pelaksana program,sinten ingkang berwenang konjuk numindakake investigasimenawi panggigatan kesebat terkait kaliyan kinerja pamonten program
meski reaksinya cepat dan langsung  pengaduan dan proses penyelesaian semacam ini tidak didokumentasikan dengan baik,senaos reaksinya gelis uga lajeng panggigatan uga prosespenyelesaian sakwerni niki mboten didokumentasikan kaliyan sae
namun dalam kajian ini tidak ditemukan adanya catatan dan dokumentasi pengaduan yang pernah dikumpulkan sekolahsekolah sampel,nanging lebet kajian niki mboten dipunpanggihaken entenipun catetan uga dokumentasi panggigatan ingkang nate dipunkempalaken sekolahsekolah sampel
di banyak sekolah juga tidak terlihat adanya kotak aduan,ing kathah sekolah ugi mboten keningal entenipun kotak gigatan
keadaan ini juga berpengaruh terhadap minimnya perhatian dan keberanian masyarakat untuk menyampaikan aduan dan kritik ke sekolah,kawontenan niki ugi berpengaruh majeng minimnya mirengan uga kekendhelan masyarakat konjuk ngantosaken gigatan uga kritik datheng sekolah
beberapa unsur yang terlibat aktif dalam upaya penanganan pengaduan tersebut di antaranya adalah dprd  lsm  dan media lokal,beberapa unsur ingkang terlibat aktif lebet upaya pananganan panggigatan kesebat ing antawisipun yaiku dprd lsm uga miyambakipun lokal
melalui siaran pers  keberadaan unit ini diumumkan ke masyarakat  lengkap dengan nomor telepon yang dapat diakses,langkung siaran pers kewontenan unit niki diumumkan datheng masyarakat pepak kaliyan nomor telepon ingkang saged diakses
di provinsi banten  kantor pos sebagai penyalur dana bos  menyediakan kotak pos aduan  hingga  bagi masyarakat,ing provinsi banten kantor pos dados penyalur dana bos nyawisaken kotak pos gigatan ngantos kunjuk masyarakat
lembaga yang berperanserta dalam monev eksternal tersebut terbilang paling aktif dan reaktif terhadap aduan yang diterima,lembaga ingkang berperanserta lebet monev eksternal kesebat sanjang paling aktif uga reaktif majeng gigatan ingkang katampi
lembaga yang mempunyai kewenangan yang cukup kuat adalah unsurunsur pengawasan  seperti bawasda  irjen dan dprd,lembaga ingkang nggadhahi kewenangan ingkang cekap kiyat yaiku unsurunsur pengawasan kados bawasda irjen uga dprd
walaupun demikian  sistem yang belum terkoordinir dengan baik ini sangat tidak menjamin penanganan pengaduan secara memadai,parandosipun sistem ingkang dereng terkoordinir kaliyan sae niki mboten sanget njamaken pananganan panggigatan sacara ngenteni
namun  hingga kini belum ada upaya tindak lanjut atas keluhan tersebut,nanging ngantos sakmenika dereng enten upaya tindak lajeng inggil keluhan kesebat
kuat dugaan  minimnya respons instansi terkait tersebut akibat tidakjelasnya peran pengawasan eksternal,kiyat dugaan minimnya respons instansi terkait kesebat akibat tidakjelasnya sabenan pengawasan eksternal
instansi terkait tidak mempunyai kewajiban untuk menindaklanjuti aduan yang disampaikan lsm dan media lokal,instansi terkait mboten nggadhahi kewajiban konjuk menindaklanjuti gigatan ingkang katur lsm uga miyambakipun lokal
selain kesulitan mengakses unit pengaduan formal  tingkat kepercayaan masyarakat terhadap unit internal cenderung minim,kajawi kerekaosan mengakses unit panggigatan formal tingkat kapitadosan masyarakat majeng unit internal cenderung mini
indikasi ini dapat dilihat dari banyaknya anggota masyarakat dan guru yang mengadukan masalah pengelolaan dana bos kepada lsm,indikasi niki saged dipunningal saking kathahipun anggotamasyarakat uga guru ingkang nggigataken masalah pengelolaandana bos dhateng lsm
namun dalam kenyataannya mereka cenderung bekerja sendirisendiri,nanging lebet keyektosanipun piyambake sedaya cenderungnyambut damel piyambakpiyambak
di beberapa daerah juga ditemukan adanya personel yang dinilai tidak kompeten,ing beberapa daerah ugi dipunpanggihaken entenipun personelingkang dipunaos mboten kompeten
dinas pendidikan sebagai pimpinan satker cenderung mendominasi aktivitas pengelolaan program bos,dinas pamucalan dados pimpinan satker cenderungmendominasi aktivitas pengelolaan program bos
dominasi itu terasa hingga ke sekolah dan madrasah sebab dalam pelaksanaannya satker banyak memanfaatkan uptd,dominasi punika kraos ngantos datheng sekolah uga madrasahamergi lebet pamontenanipun satker kathah ngginakaken uptd
uptd  khususnya di daerah kabupaten berperan di hampir semua tahapan program,uptd khususnya ing daerah kabupaten nyabenan ing hampirsedaya tahapan program
akibatnya  komite sekolah cuma menjadi  stempel  dari kepentingan pengelola sekolah,pawingkingipun komite sekolah namung dados stempel saking kewigaten pengelola sekolah
bahkan  di beberapa sekolah swasta yang menjadi sampel kajian ini belum dibentuk komite sekolah,bahkan ing beberapa sekolah swasta ingkang dados sampelkajian niki dereng dipunbentuk komite sekolah
perkecualian peran dewan pendidikan ditemukan di kabupaten tapanuli utara dan kabupaten minahasa utara,kajawen sabenan dewan pamucalan dipunpanggihaken ing kabupaten tapanuli ler uga kabupaten minahasa ler
semua kegiatan ini dibiayai dari dana operasional dewan pendidikan yang diperoleh dari depdiknas,sedaya kengungkukan niki dibiayai saking dana operasionaldewan pamucalan ingkang dipundeningaken saking depdiknas
pengurus bp hanya terdiri dari orangtua siswa  sementara komite sekolah terdiri dari orangtua siswa dan masyarakat lainnya,pangera bp namung badan saking tiyang sepuh siswa sementara komite sekolah badan saking tiyang sepuh siswa uga masyarakat bentenipun
dewan pendidikan juga giat dalam mengampanyekan otonomi sekolah atau manajemen berbasis sekolah mbs,dewan pamucalan ugi ngungkuk lebet mengampanyekanotonomi sekolah utawi manajemen berbasis sekolah mbs
melalui mekanisme ini pemerintah pusat menyerahkan pelaksanaan program kepada pemerintah provinsi,langkung mekanisme niki pamerentah puser ngabritaken pamontenan program dhateng pamerentah provinsi
oleh karenanya  pertanggungjawaban dalam bentuk laporan akhir hanya dibuat oleh satker provinsi dan satker pusat,sarehdentenipun pertanggungjawaban lebet bentuk laporanakhir namung dipundamel dening satker provinsi uga satkerpuser
hal semacam ini merupakan masalah yang biasa terjadi dengan programprogram yang dilaksanakan melalui mekanisme dekonsentrasi,hal sakwerni niki ngrupikaken masalah ingkang biyasa kedadosan kaliyan programprogram ingkang dipunwontenaken langkung mekanisme dekonsentrasi
untuk meningkatkan koordinasi dan pertanggungjawaban di tingkat daerah,konjuk ningkataken koordinasi uga pertanggungjawaban ing tingkat daerah
namun  ada berbagai kekhawatiran bahwa dampak yang diharapkan tidak dapat tercapai secara optimal karena berbagai faktor,nanging enten macemmacem kekuwatosan menawi dampakingkang diharapkan mboten saged tercapai sacara optimalamargi macemmacem faktor
uraian di bawah ini akan mendiskusikan hal tersebut  berdasarkan fenomenafenomena yang ditemukan dalam kajian cepat ini,uraian ing ngandhap niki badhe mendiskusikan hal kesebat berdasarkan fenomenafenomena ingkang dipunpanggihaken lebet kajian gelis niki
persepsi tersebut digali dalam berbagai diskusi kelompok terarah yang diselenggarakan di semua kabupatenkota sampel,persepsi kesebat dipunduduk lebet macemmacem diskusikelompok terarah ingkang dipunwontenaken ing sedaya kabupatenkitha sampel
dilihat dari besarnya dana yang diberikan ke sekolah  tentunya program bos sangat berpotensi untuk memberikan dampak yang nyata,dipunningal saking agengipun dana ingkang dipunsukakna datheng sekolah tentunya program bos berpotensi sanget konjuk nyukakaken dampak ingkang yektos
walaupun demikian  dari berbagai kenyataan yang ditemukan dalam kajian cepat ini dapat dikenali indikasiindikasi dampak program,parandosipun saking macemmacem keyektosan ingkang dipunpanggihaken lebet kajian gelis niki saged kayektosan indikasiindikasi dampak program
bagi sekolah yang jumlah siswanya banyak  nilai peningkatan penerimaan tersebut cukup signifikan,kunjuk sekolah ingkang wilangan siswanya kathah  aos indhakindhakan panampen kesebat cekap signifikan
peningkatan penerimaan bisa lebih besar karena belum tentu semua murid membayar iuran siswa pada periodeperiode sebelumnya,indhakindhakan panampen sanguh langkung ageng amargi dereng tentu sedaya murid membayar iuran siswa ing periodeperiode saderengipun
di antara sekolahsekolah sampel  hanya ada satu sekolah smp di kota cilegon yang penerimaannya menurun setelah adanya bos,ing antawis sekolahsekolah sampel namung enten setunggal sekolah smp ing kitha cilegon ingkang panampenipun mandhap saksampune entenipun bos
tingkat perubahan penerimaan sekolah setelah adanya bos bervariasi antarsekolah,tingkat ewahewahan panampen sekolah saksampune entenipun bos bervariasi antarsekolah
sementara itu penerimaan sebuah sekolah di cilegon menurun sekitar ,sementara punika panampen setunggal sekolah ing cilegonmandhap sekitar 
jumlah sekolah sampel berdasarkan perubahan kelompok penerimaan sebelum dan sesudah menerima bos disajikan dalam tabel ,wilangan sekolah sampel berdasarkan ewahewahan kelompokpanampen sadereng uga sasampun nampi bos dipuncawisaken lebet tabel 
sdmi yang mengalami peningkatan adalah  sekolah atau sekitar   sedangkan smpmts hanya delapan sekolah atau sekitar ,sdmun ingkang ngalami indhakindhakan yaiku sekolahutawi sekitar sawegaken smpmts namung wolu sekolahutawi sekitar 
dengan meningkatnya penerimaan sekolah setelah memperoleh bos  pengeluaran sekolah untuk biaya operasional pun umumnya meningkat,kaliyan ningkatipun panampen sekolah saksampune ndening bos ingkang ngenjawen sekolah konjuk biaya operasional punumumnya ningkat
indikasi peningkatan kualitas pendidikan tersebut  antara lain terlihat dari,indikasi indhakindhakan kwalitas pamucalan kesebat antawis benten keningal saking
peningkatan intensitas kegiatankegiatan yang berkaitan dengan peningkatan kualitas guru seperti mgmp dan kkg,indhakindhakan intensitas kengungkukankengungkukan ingkang berkaitan kaliyan indhakindhakan kwalitas guru kados mgmp uga kkg
namun  perlu dicatat bahwa dampak kegiatan tersebut akan maksimal bila kualitas kegiatan tersebut dapat dijaga,nanging betah dipuncatet menawi dampak kengungkukan kesebat badhe maksimal menawi kwalitas kengungkukan kesebat saged dipunjagi
dengan peningkatan penerimaan ini  ada indikasi bahwa semangat mengajar guru meningkat,kaliyan indhakindhakan panampen niki  enten indikasi menawi semangat mucal guru ningkat
biasanya dari iuran siswa yang jauh lebih kecil saja mereka mendapat alokasi,biyasanipun saking iuran siswa ingkang tebih langkung alit kamawon piyambake sedaya nyaged alokasi
di beberapa sekolah miskin  peningkatan ini sangat terasa karena dengan biaya operasional yang sangat minim sebelum adanya bos,ing beberapa sekolah miskin indhakindhakan niki kraos sanget amargi kaliyan biaya operasional ingkang minim sanget sadereng entenipun bos
oleh karenanya  kegiatan belajarmengajar menjadi sangat membosankan,sarehdentenipun kengungkukan sinaumucal dados malehaken sanget
dengan peningkatan sarana bahan ajar  guru menjadi lebih bersemangat dan bebas dalam menerapkan berbagai teknik mengajar,kaliyan indhakindhakan pirantos badhe wucal guru dados langkung sumagah uga bebas lebet ngasringaken macemmacem teknik mucal
namun  peningkatan kualitas kegiatan belajarmengajar ini tentunya perlu didukung dengan peningkatan kemampuan guru,nanging indhakindhakan kwalitas kengungkukan sinaumucal niki tentunya betah didukung kaliyan indhakindhakan kesagedan guru
peningkatan koleksi buku di sekolah  baik buku pegangan untuk guru maupun bukubuku pelajaran pokok dan buku pelajaran tambahan,indhakindhakan koleksi buku ing sekolah sae buku cepengan konjuk guru kersaa bukubuku piwulang baku uga buku piwulang minggahan
hampir semua sekolah membuat alokasi yang cukup banyak untuk pembelian buku,hampir sedaya sekolah ndamel alokasi ingkang cekap kathah konjuk panumbas buku
koleksi buku perpustakaan sangat minim karena pembelian buku cukup membebani orangtua murid dan adanya insentif rabat pembelian,koleksi buku perpustakaan minim sanget amargi panumbas bukucekap ngawratawrati tiyang sepuh murid uga entenipun insentifrabat panumbas
peningkatan intensitas dan jenis kegiatan ekstrakurikuler,indhakindhakan intensitas uga jenis kengungkukan ekstrakurikuler
namun  beberapa dinas pendidikan menyatakan adanya indikasi dampak positif dari program ini,nanging beberapa dinas pamucalan ngginemaken entenipun indikasi dampak positif saking program niki
peningkatan apk ini disinyalir terjadi karena peningkatan partisipasi pendidikan di beberapa daerah pelosok,indhakindhakan apk niki disinyalir kedadosan amargi indhakindhakan partisipasi pamucalan ing beberapa daerah pelosok
walaupun demikian  umumnya para pemangku kepentingan di kota memberikan penilaian yang relatif agak rendah,parandosipun umumnya para pemangku kewigaten ing kitha nyukakaken pangaosan ingkang relatif semu andhap 
hal tersebut memang kurang ditekankan dalam sosialisasi maupun dalam perjanjian penerimaan bantuan kontrak pelaksanaan program,hal kesebat pancen kirang ditekankan lebet sosialisasi kersaa lebet ujaran panampen bantuan kontrak pamontenan program 
oleh sebab itu  sekolah cenderung tidak melakukan upayaupaya khusus untuk mencegah putus sekolah,milanipun punika  sekolah cenderung mboten numindakake upayaupaya khusus konjuk mencegah putus sekolah 
tentunya hal ini berdampak pada penurunan biaya pendidikan yang harus dikeluarkan oleh orangtua siswa,tentunya hal niki berdampak ing pamandhapan biaya pamucalan ingkang kedah dipunmedalaken dening tiyang sepuh siswa 
walaupun tidak ada penjelasan resmi dari perusahaan tersebut  kemungkinan hal ini juga dipengaruhi oleh adanya dana bos,mbasi mboten enten pamertelan resmi saking upadosan kesebat kebokmenawen hal niki ugi dipengaruhi dening entenipun danabos 
bahkan  dua pemerintah kota bermaksud untuk meningkatkan anggaran pendidikannya,bahkan kalih pamerentah kitha nduwe pangangkah konjuk ningkataken anggaran pamucalanipun 
namun di dua kota sampel lainnya  terdapat indikasi bahwa alokasi apbd di bidang pendidikan akan dikurangi,nanging ing kalih kitha sampel bentenipun enten indikasimenawi alokasi apbd ing bidang pamucalan badhe dipunkirangi 
beberapa contoh program pemda kabupatenkota yang disesuaikan dengan program bos antara lain adalah,beberapa tuladha program pemda kabupatenkitha ingkang dipunsamikaken kaliyan program bos antawis benten yaiku 
di samping itu  pemkot pasuruan juga mengalokasikan dana untuk merehabilitasi bangunan sekolah sebesar rp miliar ,ing samping punika  pemkot pasuruan ugi mengalokasikandana konjuk merehabilitasi wungon sekolah saageng rpmiliar 
dananya berasal dari pusat   provinsi  dan pemkot ,dananya asalipun saking puser provinsi uga pemkot 
di kota cilegon  pemkot memberikan tunjangan untuk guru  berupa uang transpor dan tunjangan kesejahteraan,ing kitha cilegon pemkot nyukakaken tunjangan konjuk guru berupa arta transpor uga tunjangan kesejahteraan 
selain itu  pemkot juga memberikan bantuan guru sebesar rp per guru per bulan,kajawi punika  pemkot ugi nyukakaken bantuan guru saageng rp saben guru saben wulan 
di kabupaten tapanuli utara  pemkab merencanakan untuk memberi tunjangan kesejahteraan guru sebesar rp per orang per bulan,ing kabupaten tapanuli ler pemkab merencanakan konjuk nyukani tunjangan kesejahteraan guru saageng rp saben tiyang saben wulan 
 tingkat kepuasan terhadap pelaksanaan program pelaksanaan , tingkat kepuasan majeng pamontenan programpamontenan 
program bos yang dilakukan secara tergesagesa dan tanpa persiapan yang matang ,program bos ingkang dipuntumindakake sacara kebujeng uga tanpa jagen ingkang matang 
skor ratarata dari seluruh fgd  fgd untuk ketujuh tahapan pelaksanaan berkisar antara ,skor radinradin saking sedaya fgd fgd konjuk kepitu tahapan pamontenan berkisar antawis  
selain itu  cukup banyak yang tidak yakin bahwa beberapa pengaduan sudah ditindaklanjuti secara memadai,kajawi punika  cekap kathah ingkang mboten pitados menawi beberapa panggigatan sampun ditindaklanjuti sacara ngenteni 
masalah penyaluran dana yang paling banyak disoroti adalah keterlambatan penerimaan dana di rekening sekolah,masalah penyaluran dana ingkang paling kathah disoroti yaiku keterlambatan panampen dana ing rekening sekolah
